"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1014.2","...","1019.7","2019-01-03 09:31","1009.5","2019-01-14 14:42","18.1","30.5","2019-01-31 13:31","9.0","2019-01-23 05:42","...","1.3","1","10.2","353","2019-01-26 14:29","8.5","...","3","...","...","...","...","5.5","2019-01-16 00:00","87","...","...","...","...","...","...","..."
"02","1012.1","...","1018.3","2019-02-12 08:51","1006.4","2019-02-07 14:41","20.0","32.1","2019-02-07 15:06","12.8","2019-02-02 06:01","...","1.3","1","9.9","2","2019-02-22 16:50","9.0","...","3","...","...","...","...","7.0","2019-02-24 00:00","87","...","...","...","...","...","...","..."
"03","1009.4","...","1015.2","2019-03-14 09:14","1002.6","2019-03-03 04:21","20.7","32.4","2019-03-21 14:42","11.8","2019-03-08 03:22","...","1.1","3","10.9","354","2019-03-29 22:18","140.0","...","12","...","...","...","...","35.0","2019-03-07 00:00","87","...","...","...","...","...","...","..."
"04","1006.8","...","1015.2","2019-04-01 09:01","1000.6","2019-04-30 15:21","24.3","33.2","2019-04-29 12:43","16.0","2019-04-01 23:41","...","0.9","5","11.5","277","2019-04-19 14:57","103.5","...","8","...","...","...","...","59.0","2019-04-19 00:00","88","...","...","...","...","...","...","..."
"05","1004.3","...","1009.2","2019-05-03 09:40","999.4","2019-05-18 15:41","24.7","33.6","2019-05-14 14:23","18.1","2019-05-07 07:24","...","0.6","359","8.5","289","2019-05-20 12:35","199.5","...","18","...","...","...","...","39.5","2019-05-01 00:00","89","...","...","...","...","...","...","..."
"06","1001.4","...","1007.3","2019-06-06 10:03","994.7","2019-06-14 15:41","28.2","36.3","2019-06-18 12:42","22.5","2019-06-15 05:35","...","0.5","127","7.1","249","2019-06-02 11:01","372.0","...","16","...","...","...","...","90.0","2019-06-11 00:00","82","...","...","...","...","...","...","..."
"07","1000.3","...","1006.1","2019-07-11 23:01","989.4","2019-07-18 03:01","29.1","35.1","2019-07-26 13:11","24.3","2019-07-23 05:21","...","0.5","158","10.4","283","2019-07-02 15:41","165.0","...","14","...","...","...","...","59.5","2019-07-18 00:00","81","...","...","...","...","...","...","..."
"08","997.7","...","1006.4","2019-08-26 21:05","981.5","2019-08-24 15:24","28.4","35.4","2019-08-14 14:11","23.5","2019-08-13 08:41","...","0.5","3","10.8","355","2019-08-08 15:12","425.0","...","17","...","...","...","...","113.0","2019-08-13 00:00","87","...","...","...","...","...","...","..."
"09","1002.6","...","1012.1","2019-09-24 09:13","992.3","2019-09-30 14:54","27.3","35.9","2019-09-01 13:02","20.7","2019-09-26 04:31","...","0.7","2","13.9","354","2019-09-20 10:57","73.5","...","4","...","...","...","...","39.5","2019-09-01 00:00","81","...","...","...","...","...","...","..."
"10","1008.0","...","1012.7","2019-10-15 09:13","996.9","2019-10-01 00:01","25.2","34.2","2019-10-02 14:04","18.5","2019-10-22 04:01","...","0.6","1","8.7","2","2019-10-01 00:31","6.0","...","1","...","...","...","...","6.0","2019-10-01 00:00","79","...","...","...","...","...","...","..."
"11","1009.3","...","1015.6","2019-11-29 08:31","1002.3","2019-11-06 13:25","22.0","30.7","2019-11-02 14:21","15.4","2019-11-30 06:24","...","0.6","2","7.8","333","2019-11-28 16:23","0.0","...","0","...","...","...","...","0.0","2019-11-07 00:00","77","...","...","...","...","...","...","..."
"12","1014.3","...","1021.4","2019-12-31 09:21","1008.3","2019-12-26 15:02","18.6","29.1","2019-12-01 13:21","10.8","2019-12-09 06:11","...","0.8","11","9.6","360","2019-12-02 15:28","123.5","...","8","...","...","...","...","60.5","2019-12-29 00:00","82","...","...","...","...","...","...","..."
