"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.1","...","1021.6","2019-01-01 08:57","1011.0","2019-01-14 14:03","18.9","30.4","2019-01-31 13:31","9.8","2019-01-23 02:41","...","0.9","2","7.9","352","2019-01-26 13:52","9.0","...","3","...","...","...","...","6.5","2019-01-16 00:00","83","...","...","...","...","...","...","..."
"02","1014.2","...","1020.7","2019-02-12 09:11","1008.2","2019-02-07 15:12","20.6","31.4","2019-02-07 13:17","13.1","2019-02-02 06:41","...","0.9","320","8.0","322","2019-02-11 13:37","8.0","...","3","...","...","...","...","7.0","2019-02-24 00:00","82","...","...","...","...","...","...","..."
"03","1011.3","...","1017.8","2019-03-15 09:31","1004.7","2019-03-03 03:51","21.2","32.7","2019-03-21 14:31","12.3","2019-03-08 02:37","...","0.8","3","10.2","341","2019-03-06 12:07","133.5","...","13","...","...","...","...","35.0","2019-03-07 00:00","86","...","...","...","...","...","...","..."
"04","1008.4","...","1017.2","2019-04-01 10:04","1001.8","2019-04-30 15:21","24.8","33.2","2019-04-26 12:31","17.0","2019-04-01 23:12","...","0.8","10","9.5","220","2019-04-19 15:04","82.5","...","9","...","...","...","...","38.5","2019-04-19 00:00","88","...","...","...","...","...","...","..."
"05","1005.8","...","1011.0","2019-05-03 10:11","1000.6","2019-05-18 15:43","25.5","33.9","2019-05-31 13:41","19.2","2019-05-07 01:43","...","0.7","4","11.0","330","2019-05-20 12:34","290.5","...","19","...","...","...","...","67.5","2019-05-20 00:00","92","...","...","...","...","...","...","..."
"06","1003.0","...","1008.8","2019-06-05 22:07","996.4","2019-06-14 15:31","28.3","36.6","2019-06-28 12:53","22.6","2019-06-05 04:31","...","0.8","159","9.0","173","2019-06-02 11:12","466.0","...","16","...","...","...","...","129.5","2019-06-11 00:00","87","...","...","...","...","...","...","..."
"07","1001.9","...","1007.6","2019-07-11 22:11","989.8","2019-07-17 17:04","29.3","37.0","2019-07-17 15:54","24.4","2019-07-28 03:01","...","1.0","157","12.5","181","2019-07-10 12:39","186.0","...","13","...","...","...","...","96.5","2019-07-18 00:00","85","...","...","...","...","...","...","..."
"08","999.2","...","1007.9","2019-08-26 21:21","983.5","2019-08-24 15:51","28.6","35.7","2019-08-28 13:54","23.8","2019-08-13 09:04","...","1.0","157","11.2","171","2019-08-09 21:46","395.5","...","17","...","...","...","...","94.5","2019-08-15 00:00","91","...","...","...","...","...","...","..."
"09","1004.2","...","1013.9","2019-09-24 08:52","993.7","2019-09-30 14:51","27.7","35.3","2019-09-01 12:49","21.5","2019-09-26 05:01","...","0.9","2","13.3","7","2019-09-20 21:56","53.0","...","5","...","...","...","...","19.5","2019-09-05 00:00","81","...","...","...","...","...","...","..."
"10","1009.7","...","1014.7","2019-10-15 09:15","998.4","2019-10-01 00:01","26.1","34.5","2019-10-02 13:01","19.6","2019-10-18 05:31","...","0.8","1","7.9","2","2019-10-17 15:09","8.0","...","1","...","...","...","...","8.0","2019-10-01 00:00","79","...","...","...","...","...","...","..."
"11","1010.9","...","1017.6","2019-11-29 09:23","1003.7","2019-11-06 13:30","23.1","31.8","2019-11-01 12:43","16.1","2019-11-30 06:31","...","0.9","3","8.4","5","2019-11-08 14:20","0.0","...","0","...","...","...","...","0.0","2019-11-07 00:00","75","...","...","...","...","...","...","..."
"12","1014.6","...","1021.4","2019-12-31 09:23","1008.5","2019-12-26 14:34","19.5","29.5","2019-12-17 12:57","11.2","2019-12-09 06:12","...","0.9","2","9.6","348","2019-12-02 12:27","101.5","...","6","...","...","...","...","45.0","2019-12-29 00:00","81","...","...","...","...","...","...","..."
