"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1019.1","...","1024.4","2019-01-03 09:33","1014.4","2019-01-14 13:51","17.7","26.4","2019-01-31 12:53","11.3","2019-01-28 03:01","...","2.8","12","13.7","28","2019-01-06 08:45","7.5","...","5","...","...","...","...","3.0","2019-01-16 00:00","83","...","...","...","...","...","...","..."
"02","1017.9","...","1080.6","2019-02-11 04:02","1011.8","2019-02-07 14:21","19.3","31.2","2019-02-07 12:35","14.1","2019-02-03 04:01","...","2.5","8","13.9","15","2019-02-01 10:44","22.0","...","3","...","...","...","...","13.0","2019-02-19 00:00","82","...","...","...","...","...","...","..."
"03","1016.7","...","1078.1","2019-03-25 12:09","1009.4","2019-03-29 03:03","20.3","29.6","2019-03-28 11:33","12.4","2019-03-07 21:55","...","1.9","7","13.6","328","2019-03-29 21:30","143.0","...","12","...","...","...","...","46.0","2019-03-09 00:00","83","...","...","...","...","...","...","..."
"04","1013.0","...","1021.7","2019-04-01 09:02","1006.2","2019-04-30 16:01","23.9","31.7","2019-04-29 13:51","15.5","2019-04-02 00:11","...","1.8","1","15.4","237","2019-04-21 01:49","115.5","...","11","...","...","...","...","42.5","2019-04-19 00:00","84","...","...","...","...","...","...","..."
"05","1010.1","...","1015.8","2019-05-03 10:21","1004.7","2019-05-18 03:42","25.0","33.2","2019-05-15 13:11","18.3","2019-05-07 06:45","...","1.6","20","12.7","250","2019-05-20 12:05","192.5","...","18","...","...","...","...","38.0","2019-05-01 00:00","84","...","...","...","...","...","...","..."
"06","1006.9","...","1013.2","2019-06-06 10:42","1000.3","2019-06-14 03:12","27.9","33.7","2019-06-22 13:57","22.5","2019-06-16 04:41","...","1.7","186","17.1","351","2019-06-23 18:06","301.0","...","15","...","...","...","...","88.5","2019-06-12 00:00","83","...","...","...","...","...","...","..."
"07","1005.9","...","1011.4","2019-07-11 22:15","994.0","2019-07-17 17:02","29.2","36.3","2019-07-17 15:35","24.4","2019-07-28 05:33","...","1.9","170","14.4","191","2019-07-11 12:32","114.0","...","13","...","...","...","...","38.5","2019-07-10 00:00","78","...","...","...","...","...","...","..."
"08","1003.2","...","1012.2","2019-08-26 21:21","988.1","2019-08-24 15:51","28.7","34.4","2019-08-06 11:41","23.9","2019-08-13 10:07","...","1.5","11","17.1","6","2019-08-08 15:25","327.5","...","15","...","...","...","...","96.0","2019-08-13 00:00","83","...","...","...","...","...","...","..."
"09","1008.3","...","1017.7","2019-09-24 08:41","998.3","2019-09-30 14:43","27.5","34.7","2019-09-12 14:02","21.1","2019-09-26 06:01","...","2.5","15","20.5","22","2019-09-30 20:50","9.5","...","3","...","...","...","...","8.0","2019-09-04 00:00","76","...","...","...","...","...","...","..."
"10","1013.5","...","1018.5","2019-10-15 09:04","1002.4","2019-10-01 00:34","25.3","34.2","2019-10-03 12:51","19.2","2019-10-22 06:06","...","2.3","15","14.9","12","2019-10-15 15:31","0.0","...","0","...","...","...","...","0.0","2019-10-26 00:00","74","...","...","...","...","...","...","..."
"11","1015.0","...","1021.8","2019-11-29 09:37","1008.1","2019-11-06 15:29","22.0","28.9","2019-11-02 11:22","15.6","2019-11-30 06:31","...","2.8","20","18.0","4","2019-11-28 12:25","0.0","...","0","...","...","...","...","0.0","2019-11-07 00:00","74","...","...","...","...","...","...","..."
"12","1018.9","...","1026.2","2019-12-31 09:21","1012.8","2019-12-26 15:01","18.6","28.9","2019-12-17 12:36","10.5","2019-12-09 06:11","...","2.6","18","16.3","22","2019-12-02 20:48","124.5","...","5","...","...","...","...","62.0","2019-12-29 00:00","80","...","...","...","...","...","...","..."
