"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1018.1","...","1023.3","2019-01-27 09:33","1013.2","2019-01-14 14:45","17.5","26.1","2019-01-31 12:07","11.7","2019-01-28 05:19","...","3.7","14","22.5","9","2019-01-26 18:18","3.5","...","3","...","...","...","...","2.0","2019-01-16 00:00","87","...","...","...","...","...","...","..."
"02","1016.2","...","1022.4","2019-02-11 10:11","1010.4","2019-02-07 14:44","19.2","30.4","2019-02-07 13:34","14.0","2019-02-02 06:46","...","2.4","12","22.3","21","2019-02-13 16:29","12.5","...","4","...","...","...","...","5.5","2019-02-19 00:00","87","...","...","...","...","...","...","..."
"03","1013.2","...","1019.5","2019-03-15 09:23","1006.6","2019-03-03 04:14","20.1","30.9","2019-03-21 14:24","11.7","2019-03-08 01:55","...","2.6","15","20.6","8","2019-03-02 15:47","110.5","...","12","...","...","...","...","21.0","2019-03-10 00:00","87","...","...","...","...","...","...","..."
"04","1010.3","...","1019.1","2019-04-01 10:25","1003.4","2019-04-30 16:05","23.7","31.1","2019-04-23 12:30","15.9","2019-04-02 00:12","...","2.4","15","14.2","294","2019-04-19 14:51","100.0","...","7","...","...","...","...","44.0","2019-04-21 00:00","88","...","...","...","...","...","...","..."
"05","1007.6","...","1012.8","2019-05-03 09:51","1002.3","2019-05-18 15:10","24.7","31.4","2019-05-15 12:37","18.1","2019-05-07 07:22","...","2.0","16","12.1","19","2019-05-01 11:42","143.0","...","18","...","...","...","...","30.5","2019-05-01 00:00","89","...","...","...","...","...","...","..."
"06","1004.7","...","1010.3","2019-06-06 09:49","998.3","2019-06-14 15:20","27.8","33.9","2019-06-28 12:42","22.7","2019-06-15 02:12","...","2.0","186","11.0","27","2019-06-14 09:41","376.0","...","16","...","...","...","...","78.0","2019-06-12 00:00","87","...","...","...","...","...","...","..."
"07","1003.7","...","1009.3","2019-07-11 23:02","991.6","2019-07-17 17:16","28.8","35.2","2019-07-17 16:42","23.2","2019-07-22 19:43","...","2.3","186","14.8","210","2019-07-02 11:33","122.0","...","14","...","...","...","...","32.0","2019-07-03 00:00","86","...","...","...","...","...","...","..."
"08","1001.1","...","1009.8","2019-08-26 21:36","985.1","2019-08-24 15:37","28.2","33.6","2019-08-24 14:39","22.9","2019-08-13 09:05","...","2.1","1","16.7","10","2019-08-08 15:46","418.5","...","14","...","...","...","...","157.5","2019-08-13 00:00","90","...","...","...","...","...","...","..."
"09","1006.1","...","1015.7","2019-09-24 09:17","995.8","2019-09-30 15:04","27.0","33.5","2019-09-11 12:01","21.0","2019-09-26 05:48","...","2.9","2","18.5","15","2019-09-20 15:32","60.5","...","5","...","...","...","...","42.0","2019-09-04 00:00","83","...","...","...","...","...","...","..."
"10","1011.6","...","1016.5","2019-10-15 09:23","1000.2","2019-10-01 00:02","24.7","32.9","2019-10-02 12:55","18.6","2019-10-22 06:22","...","2.8","1","15.0","9","2019-10-02 00:00","1.5","...","1","...","...","...","...","1.5","2019-10-01 00:00","79","...","...","...","...","...","...","..."
"11","1013.0","...","1019.6","2019-11-29 09:20","1006.1","2019-11-05 14:33","21.5","28.4","2019-11-02 13:28","15.6","2019-11-10 04:03","...","3.7","3","16.7","23","2019-11-19 07:27","0.0","...","0","...","...","...","...","0.0","2019-11-07 00:00","77","...","...","...","...","...","...","..."
"12","1016.6","...","1023.5","2019-12-31 09:27","1010.4","2019-12-26 15:11","18.1","27.3","2019-12-17 13:19","11.0","2019-12-09 06:05","...","3.6","1","16.0","2","2019-12-05 21:27","85.5","...","5","...","...","...","...","48.5","2019-12-29 00:00","83","...","...","...","...","...","...","..."
