"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1013.3","...","1023.3","2018-01-13 09:27","1005.6","2018-01-22 13:33","17.2","26.6","2018-01-03 13:54","5.8","2018-01-13 02:11","...","0.9","1","9.4","354","2018-01-08 12:00","105.5","...","13","...","...","...","...","27.5","2018-01-09 00:00","83","...","...","...","...","...","...","..."
"02","1014.6","...","1022.3","2018-02-12 09:36","1007.6","2018-02-21 15:20","16.5","31.8","2018-02-15 13:31","8.2","2018-02-05 07:51","...","1.0","4","8.3","350","2018-02-01 05:47","32.0","...","9","...","...","...","...","16.0","2018-02-22 00:00","82","...","...","...","...","...","...","..."
"03","1011.6","...","1018.8","2018-03-11 09:36","1004.6","2018-03-19 15:09","20.9","32.5","2018-03-05 13:31","10.5","2018-03-22 02:31","...","0.9","2","8.9","338","2018-03-07 16:19","31.5","...","4","...","...","...","...","19.5","2018-03-15 00:00","77","...","...","...","...","...","...","..."
"04","1009.6","...","1018.3","2018-04-07 21:27","1003.0","2018-04-23 14:48","24.3","33.8","2018-04-23 12:01","13.8","2018-04-08 05:55","...","0.8","2","9.4","333","2018-04-06 15:54","32.0","...","3","...","...","...","...","16.5","2018-04-15 00:00","77","...","...","...","...","...","...","..."
"05","1006.8","...","1013.7","2018-05-05 08:31","1002.1","2018-05-25 16:03","28.3","36.9","2018-05-28 13:22","20.0","2018-05-10 05:36","...","0.8","19","7.9","195","2018-05-27 15:19","86.0","...","3","...","...","...","...","58.5","2018-05-09 00:00","79","...","...","...","...","...","...","..."
"06","1001.6","...","1008.4","2018-06-25 22:09","990.2","2018-06-14 15:51","28.6","36.3","2018-06-05 12:11","23.8","2018-06-19 09:27","...","0.9","2","10.3","347","2018-06-15 12:35","195.5","...","12","...","...","...","...","67.5","2018-06-19 00:00","82","...","...","...","...","...","...","..."
"07","1000.6","...","1005.0","2018-07-27 21:32","993.1","2018-07-11 05:11","29.1","36.7","2018-07-17 12:32","23.2","2018-07-02 15:20","...","0.9","151","9.7","1","2018-07-10 16:44","450.0","...","14","...","...","...","...","233.5","2018-07-02 00:00","83","...","...","...","...","...","...","..."
"08","998.9","...","1009.4","2018-08-31 09:41","989.9","2018-08-23 13:41","28.3","36.5","2018-08-01 14:53","23.2","2018-08-23 23:41","...","0.9","142","14.5","145","2018-08-23 20:20","530.5","...","18","...","...","...","...","126.0","2018-08-14 00:00","85","...","...","...","...","...","...","..."
"09","1004.0","...","1011.6","2018-09-17 21:31","994.0","2018-09-15 15:13","28.1","35.0","2018-09-17 13:02","20.3","2018-09-30 03:51","...","0.9","2","12.2","336","2018-09-29 09:21","39.5","...","5","...","...","...","...","24.5","2018-09-07 00:00","81","...","...","...","...","...","...","..."
"10","1009.7","...","1016.3","2018-10-20 09:13","1003.4","2018-10-05 03:42","24.6","32.5","2018-10-01 14:08","14.3","2018-10-29 06:01","...","0.9","1","13.2","11","2018-10-04 15:19","2.0","...","2","...","...","...","...","1.5","2018-10-19 00:00","76","...","...","...","...","...","...","..."
"11","1012.4","...","1018.0","2018-11-29 09:43","1006.0","2018-11-02 03:27","23.1","31.4","2018-11-03 12:52","15.1","2018-11-24 06:37","...","0.7","8","8.2","2","2018-11-22 10:59","17.5","...","5","...","...","...","...","8.0","2018-11-25 00:00","85","...","...","...","...","...","...","..."
"12","1014.2","...","1021.6","2018-12-31 08:35","1006.5","2018-12-26 13:23","20.5","31.1","2018-12-06 12:41","12.2","2018-12-18 06:41","...","1.0","2","8.4","348","2018-12-27 15:49","0.5","...","1","...","...","...","...","0.5","2018-12-23 00:00","79","...","...","...","...","...","...","..."
