"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1014.7","...","1023.8","2020-01-01 09:33","1005.2","2020-01-26 14:02","18.3","29.5","2020-01-23 13:25","5.3","2020-01-31 05:11","...","0.8","1","9.8","16","2020-01-26 18:13","18.5","...","1","...","...","...","...","18.5","2020-01-26 00:00","82","...","...","...","...","...","...","..."
"02","1016.5","...","1024.1","2020-02-21 09:47","1007.5","2020-02-15 14:34","19.4","30.4","2020-02-12 12:39","7.5","2020-02-01 06:14","...","0.8","2","8.6","311","2020-02-14 14:08","0.5","...","1","...","...","...","...","0.5","2020-02-15 00:00","81","...","...","...","...","...","...","..."
"03","1011.2","...","1017.6","2020-03-16 08:35","1001.2","2020-03-09 14:31","22.5","33.4","2020-03-09 13:28","13.2","2020-03-15 06:19","...","0.8","3","8.3","3","2020-03-28 15:21","49.5","...","4","...","...","...","...","22.5","2020-03-10 00:00","81","...","...","...","...","...","...","..."
"04","1011.7","...","1016.7","2020-04-02 09:45","1006.3","2020-04-19 15:31","22.6","33.7","2020-04-19 13:32","11.8","2020-04-13 05:51","...","0.8","1","10.9","12","2020-04-12 14:53","38.0","...","8","...","...","...","...","13.5","2020-04-06 00:00","80","...","...","...","...","...","...","..."
"05","1005.2","...","1011.0","2020-05-01 08:43","998.3","2020-05-17 16:27","28.0","36.4","2020-05-10 12:51","21.4","2020-05-01 05:01","...","0.6","2","12.9","153","2020-05-22 02:29","285.5","...","12","...","...","...","...","68.0","2020-05-27 00:00","85","...","...","...","...","...","...","..."
"06","1004.6","...","1010.4","2020-06-15 00:03","1000.3","2020-06-30 16:31","29.7","37.5","2020-06-28 13:37","23.3","2020-06-08 16:41","...","0.7","162","9.1","175","2020-06-27 16:19","37.0","...","7","...","...","...","...","25.5","2020-06-08 00:00","79","...","...","...","...","...","...","..."
"07","1004.2","...","1008.7","2020-07-21 09:34","999.1","2020-07-14 15:45","30.4","37.7","2020-07-13 13:52","24.5","2020-07-27 17:04","...","0.7","148","10.1","178","2020-07-01 13:20","80.0","...","8","...","...","...","...","29.5","2020-07-03 00:00","76","...","...","...","...","...","...","..."
"08","1003.1","...","1011.6","2020-08-12 21:51","997.4","2020-08-24 16:01","29.0","36.2","2020-08-06 11:42","23.8","2020-08-16 01:01","...","0.7","157","10.4","222","2020-08-27 11:38","210.5","...","18","...","...","...","...","66.5","2020-08-12 00:00","86","...","...","...","...","...","...","..."
"09","1005.1","...","1011.0","2020-09-19 08:53","997.5","2020-09-01 03:27","28.7","36.0","2020-09-18 12:13","22.0","2020-09-07 03:41","...","0.7","2","9.2","333","2020-09-20 14:02","4.5","...","2","...","...","...","...","4.0","2020-09-13 00:00","78","...","...","...","...","...","...","..."
"10","1007.8","...","1013.9","2020-10-29 08:46","1001.2","2020-10-21 14:24","26.4","34.9","2020-10-04 12:01","20.5","2020-10-23 03:55","...","0.9","3","10.6","39","2020-10-22 14:30","0.5","...","1","...","...","...","...","0.5","2020-10-24 00:00","75","...","...","...","...","...","...","..."
"11","1011.8","...","1017.0","2020-11-30 09:05","1004.0","2020-11-06 18:09","24.1","33.2","2020-11-21 12:20","18.8","2020-11-30 01:52","...","0.8","2","7.4","327","2020-11-08 01:04","2.5","...","3","...","...","...","...","1.5","2020-11-13 00:00","79","...","...","...","...","...","...","..."
"12","1013.2","...","1021.9","2020-12-31 08:55","1006.6","2020-12-28 15:12","19.9","28.7","2020-12-28 14:11","9.6","2020-12-31 08:51","...","1.1","3","12.2","1","2020-12-30 10:07","25.5","...","7","...","...","...","...","9.0","2020-12-09 00:00","81","...","...","...","...","...","...","..."
