"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.2","...","1017.5","2019-01-03 08:51","1006.7","2019-01-14 14:51","19.3","31.3","2019-01-05 13:23","9.0","2019-01-23 06:02","...","0.5","188","6.9","332","2019-01-31 17:00","2.0","...","2","...","...","...","...","1.0","2019-01-21 00:00","88","...","...","...","...","...","...","..."
"02","1010.3","...","1016.8","2019-02-12 08:45","1004.5","2019-02-07 15:13","21.7","33.2","2019-02-03 12:14","13.6","2019-02-12 06:33","...","0.6","24","7.4","219","2019-02-03 15:27","2.5","...","3","...","...","...","...","1.5","2019-02-24 00:00","78","...","...","...","...","...","...","..."
"03","1007.6","...","1013.1","2019-03-15 08:54","1001.3","2019-03-29 15:05","22.1","34.5","2019-03-22 13:31","14.0","2019-03-08 04:32","...","0.6","34","10.7","12","2019-03-10 03:36","47.5","...","10","...","...","...","...","14.0","2019-03-07 00:00","81","...","...","...","...","...","...","..."
"04","1004.9","...","1012.7","2019-04-01 08:33","998.4","2019-04-30 15:16","25.5","37.2","2019-04-09 13:51","17.1","2019-04-02 01:23","...","0.7","22","8.1","49","2019-04-03 12:46","71.0","...","3","...","...","...","...","50.0","2019-04-19 00:00","79","...","...","...","...","...","...","..."
"05","1002.1","...","1004.7","2019-05-12 21:27","997.8","2019-05-18 15:47","25.7","35.0","2019-05-14 14:44","20.0","2019-05-07 22:21","...","0.6","40","6.3","353","2019-05-11 17:45","376.0","...","23","...","...","...","...","74.0","2019-05-20 00:00","87","...","...","...","...","...","...","..."
"06","999.8","...","1005.2","2019-06-05 21:42","994.5","2019-06-30 15:33","27.8","36.0","2019-06-06 12:51","23.0","2019-06-05 04:11","...","0.8","54","10.5","338","2019-06-23 16:26","365.0","...","15","...","...","...","...","94.0","2019-06-11 00:00","85","...","...","...","...","...","...","..."
"07","998.9","...","1005.0","2019-07-11 22:41","986.6","2019-07-17 16:57","27.4","35.7","2019-07-17 14:53","23.0","2019-07-30 17:31","...","0.8","57","10.0","322","2019-07-01 12:33","544.5","...","21","...","...","...","...","99.0","2019-07-03 00:00","87","...","...","...","...","...","...","..."
"08","996.5","...","1005.0","2019-08-26 21:41","978.8","2019-08-24 15:08","26.4","38.7","2019-08-23 13:54","21.2","2019-08-26 05:31","...","0.7","57","9.7","189","2019-08-25 02:34","795.5","...","26","...","...","...","...","91.0","2019-08-30 00:00","88","...","...","...","...","...","...","..."
"09","1001.3","...","1010.5","2019-09-24 21:22","990.7","2019-09-30 15:03","25.8","34.2","2019-09-01 13:31","19.6","2019-09-24 05:21","...","0.6","X","12.7","32","2019-09-21 09:46","192.0","...","12","...","...","...","...","51.5","2019-09-14 00:00","81","...","...","...","...","...","...","..."
"10","1006.7","...","1011.1","2019-10-15 08:54","995.5","2019-10-01 00:08","24.9","33.6","2019-10-02 12:44","18.3","2019-10-18 05:21","...","0.5","24","8.6","327","2019-10-01 04:49","16.0","...","4","...","...","...","...","10.5","2019-10-12 00:00","80","...","...","...","...","...","...","..."
"11","1008.0","...","1014.4","2019-11-29 08:02","1000.9","2019-11-06 14:32","22.6","32.3","2019-11-03 13:11","10.0","2019-11-28 17:46","...","0.4","53","7.2","317","2019-11-14 15:44","0.0","...","0","...","...","...","...","0.0","2019-11-07 00:00","77","...","...","...","...","...","...","..."
"12","1011.5","...","1018.0","2019-12-31 22:13","1004.4","2019-12-26 14:31","19.0","30.0","2019-12-25 13:12","10.2","2019-12-11 06:55","...","0.4","1","8.5","17","2019-12-30 12:11","58.5","...","8","...","...","...","...","31.0","2019-12-29 00:00","87","...","...","...","...","...","...","..."
