"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1005.2","...","1010.6","2019-01-03 09:23","1000.0","2019-01-15 14:11","19.6","31.7","2019-01-31 13:16","9.5","2019-01-23 06:41","...","0.9","126","10.0","317","2019-01-31 15:32","1.0","...","2","...","...","...","...","0.5","2019-01-21 00:00","82","...","...","...","...","...","...","..."
"02","1003.4","...","1009.8","2019-02-12 08:56","997.8","2019-02-07 15:09","21.7","34.3","2019-02-20 13:44","14.2","2019-02-12 06:31","...","1.1","292","8.8","293","2019-02-22 15:21","4.0","...","3","...","...","...","...","2.0","2019-02-04 00:00","80","...","...","...","...","...","...","..."
"03","1000.6","...","1006.2","2019-03-14 09:32","994.5","2019-03-29 15:21","22.0","35.5","2019-03-21 14:01","13.5","2019-03-08 04:52","...","1.0","122","12.8","303","2019-03-03 12:54","50.0","...","9","...","...","...","...","13.0","2019-03-10 00:00","83","...","...","...","...","...","...","..."
"04","998.0","...","1005.7","2019-04-01 08:33","991.8","2019-04-30 15:14","25.3","37.3","2019-04-09 13:23","17.2","2019-04-02 01:31","...","1.1","290","16.1","295","2019-04-19 15:10","84.0","...","5","...","...","...","...","53.0","2019-04-19 00:00","76","...","...","...","...","...","...","..."
"05","995.6","...","1000.5","2019-05-04 09:11","991.3","2019-05-18 15:43","25.4","35.8","2019-05-14 15:12","20.0","2019-05-03 03:23","...","0.8","15","15.1","314","2019-05-20 15:07","266.0","...","23","...","...","...","...","47.5","2019-05-20 00:00","88","...","...","...","...","...","...","..."
"06","993.3","...","998.7","2019-06-05 22:01","986.2","2019-06-14 13:41","27.7","37.2","2019-06-06 13:41","22.3","2019-06-05 05:02","...","0.8","36","11.9","332","2019-06-23 16:37","412.0","...","16","...","...","...","...","135.5","2019-06-14 00:00","83","...","...","...","...","...","...","..."
"07","992.6","...","998.5","2019-07-11 22:51","980.5","2019-07-17 17:04","27.5","36.6","2019-07-17 16:11","23.3","2019-07-30 17:21","...","0.8","118","12.0","176","2019-07-02 10:45","555.5","...","20","...","...","...","...","100.0","2019-07-19 00:00","86","...","...","...","...","...","...","..."
"08","990.0","...","998.2","2019-08-26 22:03","972.2","2019-08-24 15:02","26.9","35.7","2019-08-28 14:41","22.1","2019-08-31 05:31","...","0.9","108","15.6","190","2019-08-25 01:41","915.5","...","26","...","...","...","...","149.0","2019-08-15 00:00","91","...","...","...","...","...","...","..."
"09","994.5","...","1003.6","2019-09-24 21:15","984.1","2019-09-30 15:07","26.7","39.8","2019-09-16 08:04","20.0","2019-09-21 02:37","...","0.8","108","9.9","345","2019-09-21 09:54","363.5","...","14","...","...","...","...","66.0","2019-09-06 00:00","85","...","...","...","...","...","...","..."
"10","999.7","...","1004.2","2019-10-15 08:51","988.3","2019-10-01 00:01","25.5","35.5","2019-10-02 12:51","19.6","2019-10-21 06:01","...","0.7","121","8.7","299","2019-10-01 01:46","32.0","...","5","...","...","...","...","22.0","2019-10-12 00:00","83","...","...","...","...","...","...","..."
"11","1000.9","...","1007.0","2019-11-29 07:43","993.8","2019-11-06 14:54","22.6","33.5","2019-11-01 14:21","15.2","2019-11-30 05:25","...","0.7","122","7.0","300","2019-11-17 12:43","0.0","...","0","...","...","...","...","0.0","2019-11-07 00:00","81","...","...","...","...","...","...","..."
"12","1004.2","...","1010.7","2019-12-31 22:26","997.5","2019-12-26 14:31","19.1","30.5","2019-12-18 13:05","12.0","2019-12-03 05:31","...","0.8","292","7.3","323","2019-12-13 11:47","63.5","...","8","...","...","...","...","39.5","2019-12-29 00:00","86","...","...","...","...","...","...","..."
