"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","6.5","...","5","...","...","...","...","2.5","2013-01-09 00:00","...","...","...","...","...","...","...","..."
"02","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","0.5","...","1","...","...","...","...","0.5","2013-02-09 00:00","...","...","...","...","...","...","...","..."
"03","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","31.5","...","6","...","...","...","...","10.0","2013-03-27 00:00","...","...","...","...","...","...","...","..."
"04","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","194.0","...","7","...","...","...","...","86.0","2013-04-05 00:00","...","...","...","...","...","...","...","..."
"05","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1530.0","...","21","...","...","...","...","418.0","2013-08-29 00:00","...","...","...","...","...","...","...","..."
"09","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","220.0","...","17","...","...","...","...","35.0","2013-09-01 00:00","...","...","...","...","...","...","...","..."
"10","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","25.5","...","1","...","...","...","...","25.5","2013-10-10 00:00","...","...","...","...","...","...","...","..."
"11","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","22.0","...","4","...","...","...","...","16.0","2013-11-25 00:00","...","...","...","...","...","...","...","..."
"12","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","32.0","...","9","...","...","...","...","21.0","2013-12-17 00:00","...","...","...","...","...","...","...","..."
