"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1011.5","...","1020.4","2020-01-01 09:14","1002.0","2020-01-26 15:31","18.1","31.0","2020-01-23 13:17","5.0","2020-01-31 05:41","...","0.2","222","11.3","339","2020-01-26 18:20","17.5","...","2","...","...","...","...","16.0","2020-01-26 00:00","89","...","...","...","...","...","...","..."
"02","1013.3","...","1021.0","2020-02-21 08:44","1004.1","2020-02-15 17:11","19.2","32.3","2020-02-14 12:43","7.2","2020-02-01 05:57","...","0.2","286","8.5","296","2020-02-07 13:11","8.5","...","3","...","...","...","...","5.0","2020-02-14 00:00","86","...","...","...","...","...","...","..."
"03","1007.2","...","1013.6","2020-03-16 08:11","999.4","2020-03-09 15:01","22.8","36.0","2020-03-26 12:51","14.0","2020-03-16 04:31","...","0.5","34","8.4","14","2020-03-10 09:36","32.5","...","4","...","...","...","...","13.0","2020-03-14 00:00","85","...","...","...","...","...","...","..."
"04","1007.2","...","1011.7","2020-04-13 22:21","1002.2","2020-04-19 15:41","23.2","36.0","2020-04-19 14:01","12.6","2020-04-14 01:01","...","0.7","53","10.1","329","2020-04-12 16:17","25.5","...","5","...","...","...","...","17.0","2020-04-06 00:00","80","...","...","...","...","...","...","..."
"05","1001.3","...","1006.6","2020-05-01 08:14","993.7","2020-05-17 16:11","27.6","38.2","2020-05-08 13:04","20.5","2020-05-01 04:01","...","0.8","48","13.1","51","2020-05-16 15:36","480.5","...","13","...","...","...","...","214.0","2020-05-22 00:00","82","...","...","...","...","...","...","..."
"06","1001.1","...","1006.8","2020-06-14 22:01","996.5","2020-06-12 14:53","28.8","36.0","2020-06-02 12:27","22.8","2020-06-09 17:17","...","0.8","49","8.6","277","2020-06-07 17:31","114.0","...","8","...","...","...","...","43.5","2020-06-09 00:00","75","...","...","...","...","...","...","..."
"07","1000.7","...","1004.8","2020-07-03 21:21","995.8","2020-07-14 15:02","28.6","36.5","2020-07-19 12:36","23.2","2020-07-28 16:31","...","0.9","47","8.6","215","2020-07-02 13:00","215.5","...","16","...","...","...","...","51.0","2020-07-28 00:00","78","...","...","...","...","...","...","..."
"08","999.7","...","1007.5","2020-08-12 21:51","993.8","2020-08-31 14:21","27.2","35.5","2020-08-06 14:31","23.3","2020-08-17 05:08","...","0.7","52","9.0","64","2020-08-16 15:16","628.0","...","27","...","...","...","...","86.0","2020-08-22 00:00","84","...","...","...","...","...","...","..."
"09","1001.5","...","1007.0","2020-09-18 21:17","994.0","2020-09-01 15:25","27.6","35.1","2020-09-15 13:45","19.7","2020-09-07 01:12","...","0.6","53","10.6","27","2020-09-03 16:49","207.5","...","9","...","...","...","...","66.5","2020-09-11 00:00","80","...","...","...","...","...","...","..."
"10","1003.9","...","1009.7","2020-10-29 08:15","997.3","2020-10-22 03:41","26.1","34.7","2020-10-14 13:37","20.8","2020-10-22 22:51","...","0.3","26","5.3","279","2020-10-03 13:43","19.5","...","4","...","...","...","...","17.0","2020-10-17 00:00","78","...","...","...","...","...","...","..."
"11","1007.9","...","1013.2","2020-11-30 10:15","1000.0","2020-11-06 14:41","24.2","34.0","2020-11-20 12:21","18.2","2020-11-28 05:05","...","0.2","41","4.4","39","2020-11-20 12:37","5.5","...","4","...","...","...","...","4.0","2020-11-09 00:00","80","...","...","...","...","...","...","..."
"12","1009.0","...","1017.5","2020-12-31 09:16","1002.5","2020-12-29 15:21","20.6","32.0","2020-12-13 13:42","11.0","2020-12-31 18:40","...","0.2","208","7.3","13","2020-12-26 14:34","18.0","...","5","...","...","...","...","10.0","2020-12-09 00:00","80","...","...","...","...","...","...","..."
