"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1017.2","...","1022.5","2019-01-27 09:01","1011.9","2019-01-14 14:04","19.1","31.9","2019-01-24 14:20","10.5","2019-01-06 00:31","...","2.4","347","45.0","209","2019-01-24 14:27","0.5","...","1","...","...","...","...","0.5","2019-01-16 00:00","88","...","...","...","...","...","...","..."
"02","1015.2","...","1021.8","2019-02-12 08:44","1009.3","2019-02-07 15:01","21.4","32.0","2019-02-19 12:43","15.5","2019-02-02 06:28","...","2.4","1","10.3","168","2019-02-03 11:14","6.0","...","3","...","...","...","...","5.0","2019-02-19 00:00","89","...","...","...","...","...","...","..."
"03","1012.4","...","1017.8","2019-03-17 08:44","1005.9","2019-03-03 04:55","21.8","33.5","2019-03-21 00:01","13.0","2019-03-08 04:35","...","2.1","4","11.4","346","2019-03-10 02:40","44.5","...","12","...","...","...","...","18.5","2019-03-07 00:00","85","...","...","...","...","...","...","..."
"04","1009.5","...","1017.9","2019-04-01 08:52","92.9","2019-04-19 06:32","25.2","33.1","2019-04-29 12:01","17.4","2019-04-02 00:45","...","2.0","1","13.7","295","2019-04-19 14:41","74.5","...","4","...","...","...","...","50.0","2019-04-19 00:00","79","...","...","...","...","...","...","..."
"05","1006.8","...","1011.9","2019-05-03 09:44","1002.1","2019-05-18 15:31","26.0","33.4","2019-05-26 15:31","19.6","2019-05-07 01:14","...","1.8","9","16.2","355","2019-05-20 14:52","138.5","...","17","...","...","...","...","32.5","2019-05-20 00:00","88","...","...","...","...","...","...","..."
"06","1004.1","...","1009.7","2019-06-05 22:11","997.3","2019-06-14 15:03","28.7","35.2","2019-06-18 12:46","23.7","2019-06-15 04:52","...","2.0","148","12.3","344","2019-06-10 13:47","424.0","...","16","...","...","...","...","108.5","2019-06-11 00:00","88","...","...","...","...","...","...","..."
"07","1003.3","...","1009.3","2019-07-11 23:12","991.0","2019-07-17 16:52","28.6","35.5","2019-07-17 15:25","23.8","2019-07-10 20:38","...","2.2","126","13.6","233","2019-07-03 09:48","573.0","...","20","...","...","...","...","105.0","2019-07-03 00:00","92","...","...","...","...","...","...","..."
"08","1003.8","...","1009.7","2019-08-26 21:52","0.0","2019-08-06 00:01","28.3","34.3","2019-08-06 13:23","23.8","2019-08-13 11:09","...","2.2","129","18.7","165","2019-08-24 22:21","493.5","...","19","...","...","...","...","116.5","2019-08-13 00:00","91","...","...","...","...","...","...","..."
"09","1006.1","...","1015.5","2019-09-24 08:31","995.5","2019-09-30 15:04","27.9","34.1","2019-09-01 13:13","22.3","2019-09-24 05:41","...","2.1","4","14.6","10","2019-09-20 15:45","117.5","...","8","...","...","...","...","63.0","2019-09-06 00:00","76","...","...","...","...","...","...","..."
"10","1011.6","...","1016.1","2019-10-15 08:44","1000.8","2019-10-01 00:01","26.3","39.8","2019-10-14 11:53","20.5","2019-10-22 05:38","...","2.1","1","13.4","352","2019-10-01 00:03","4.5","...","1","...","...","...","...","4.5","2019-10-01 00:00","74","...","...","...","...","...","...","..."
"11","1013.0","...","1019.6","2019-11-29 08:52","1006.0","2019-11-05 14:24","22.9","30.3","2019-11-03 13:47","16.2","2019-11-29 03:01","...","2.3","355","11.0","17","2019-11-18 18:12","0.0","...","0","...","...","...","...","0.0","2019-11-07 00:00","76","...","...","...","...","...","...","..."
"12","1016.6","...","1023.5","2019-12-31 09:41","1009.7","2019-12-26 14:43","19.2","28.6","2019-12-17 13:53","12.5","2019-12-08 06:36","...","2.5","347","12.8","336","2019-12-02 14:57","115.0","...","7","...","...","...","...","86.0","2019-12-29 00:00","82","...","...","...","...","...","...","..."
