"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.1","...","1021.5","2019-01-03 09:26","1010.9","2019-01-14 14:20","18.5","29.2","2019-01-31 14:12","10.1","2019-01-23 03:52","...","2.4","25","10.9","4","2019-01-26 14:01","2.0","...","2","...","...","...","...","1.5","2019-01-16 00:00","83","...","...","...","...","...","...","..."
"02","1014.2","...","1020.7","2019-02-12 09:16","1008.4","2019-02-07 15:21","20.5","31.5","2019-02-19 13:32","14.4","2019-02-02 05:56","...","2.3","11","10.4","27","2019-02-23 03:01","6.5","...","2","...","...","...","...","4.5","2019-02-19 00:00","81","...","...","...","...","...","...","..."
"03","1011.3","...","1017.3","2019-03-15 09:35","1004.7","2019-03-03 04:51","21.6","31.4","2019-03-21 14:08","11.4","2019-03-12 01:38","...","1.9","24","14.2","345","2019-03-03 12:18","66.0","...","12","...","...","...","...","25.5","2019-03-07 00:00","84","...","...","...","...","...","...","..."
"04","1008.5","...","1016.8","2019-04-01 10:31","1002.1","2019-04-30 15:32","24.5","32.5","2019-04-09 13:10","16.6","2019-04-02 02:22","...","1.9","21","17.4","290","2019-04-19 14:33","67.5","...","7","...","...","...","...","28.5","2019-04-19 00:00","81","...","...","...","...","...","...","..."
"05","1005.9","...","1010.8","2019-05-03 10:37","1001.2","2019-05-18 15:48","25.4","33.4","2019-05-26 15:26","18.7","2019-05-08 03:55","...","1.6","23","18.5","72","2019-05-20 14:33","181.0","...","16","...","...","...","...","75.0","2019-05-20 00:00","85","...","...","...","...","...","...","..."
"06","1003.2","...","1008.9","2019-06-05 22:15","996.5","2019-06-14 14:59","28.3","35.2","2019-06-18 12:50","23.1","2019-06-15 06:23","...","1.8","193","12.5","198","2019-06-18 13:11","385.0","...","16","...","...","...","...","76.0","2019-06-17 00:00","82","...","...","...","...","...","...","..."
"07","1002.3","...","1008.2","2019-07-11 22:46","990.0","2019-07-17 17:03","28.5","36.2","2019-07-17 15:22","23.9","2019-07-03 04:23","...","2.1","164","13.3","185","2019-07-02 11:25","416.0","...","21","...","...","...","...","64.5","2019-07-10 00:00","82","...","...","...","...","...","...","..."
"08","999.6","...","1008.0","2019-08-26 22:00","985.4","2019-08-09 04:05","27.9","35.6","2019-08-28 14:19","23.2","2019-08-15 10:03","...","1.9","3","14.4","297","2019-08-15 09:43","642.0","...","24","...","...","...","...","115.0","2019-08-13 00:00","88","...","...","...","...","...","...","..."
"09","1004.4","...","1013.7","2019-09-24 21:34","994.0","2019-09-30 15:17","27.2","34.0","2019-09-02 11:38","21.3","2019-09-24 05:54","...","1.7","2","13.4","24","2019-09-20 17:07","60.5","...","7","...","...","...","...","23.0","2019-09-10 00:00","80","...","...","...","...","...","...","..."
"10","1009.8","...","1014.4","2019-10-15 09:41","998.8","2019-10-01 00:05","25.5","34.2","2019-10-02 12:43","19.5","2019-10-18 05:41","...","1.6","24","9.5","3","2019-10-28 14:59","0.5","...","1","...","...","...","...","0.5","2019-10-01 00:00","79","...","...","...","...","...","...","..."
"11","1011.2","...","1017.6","2019-11-29 09:02","1004.0","2019-11-06 13:55","22.2","30.7","2019-11-01 12:45","15.1","2019-11-29 02:47","...","1.8","25","12.7","351","2019-11-03 15:03","0.0","...","0","...","...","...","...","0.0","2019-11-07 00:00","78","...","...","...","...","...","...","..."
"12","1014.6","...","1021.5","2019-12-31 09:57","1008.0","2019-12-26 14:50","18.7","29.0","2019-12-17 14:52","11.3","2019-12-08 07:06","...","2.3","24","12.8","31","2019-12-02 15:47","111.5","...","7","...","...","...","...","75.5","2019-12-29 00:00","81","...","...","...","...","...","...","..."
