"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.1","...","1026.3","2018-01-13 08:53","1008.9","2018-01-22 14:03","17.0","26.6","2018-01-08 10:29","7.4","2018-01-13 07:11","...","5.0","28","17.2","27","2018-01-09 03:20","53.0","...","11","...","...","...","...","15.0","2018-01-09 00:00","81","...","...","...","...","...","...","..."
"02","1017.3","...","1025.2","2018-02-12 09:48","1010.8","2018-02-21 15:29","16.2","30.7","2018-02-15 12:20","9.0","2018-02-06 06:21","...","5.2","33","18.0","27","2018-02-11 04:13","21.5","...","7","...","...","...","...","12.0","2018-02-22 00:00","80","...","...","...","...","...","...","..."
"03","1014.5","...","1021.7","2018-03-11 10:12","1007.8","2018-03-19 16:47","20.8","28.9","2018-03-05 10:50","12.0","2018-03-08 23:42","...","3.8","4","20.2","24","2018-03-08 18:57","47.0","...","3","...","...","...","...","34.5","2018-03-15 00:00","76","...","...","...","...","...","...","..."
"04","1012.7","...","1021.1","2018-04-07 21:04","1005.6","2018-04-23 16:27","24.3","31.0","2018-04-23 09:23","14.9","2018-04-08 05:52","...","3.1","1","22.7","35","2018-04-06 23:34","9.0","...","3","...","...","...","...","7.0","2018-04-17 00:00","74","...","...","...","...","...","...","..."
"05","1010.0","...","1016.7","2018-05-04 22:25","1005.3","2018-05-25 16:07","27.9","32.5","2018-05-28 12:10","21.4","2018-05-10 05:42","...","2.5","6","12.9","11","2018-05-03 12:27","62.5","...","4","...","...","...","...","27.5","2018-05-29 00:00","78","...","...","...","...","...","...","..."
"06","1004.8","...","1011.5","2018-06-25 22:42","992.5","2018-06-15 03:32","28.1","33.2","2018-06-05 12:17","23.1","2018-06-19 07:21","...","3.1","2","16.4","219","2018-06-18 15:31","458.0","...","12","...","...","...","...","161.0","2018-06-20 00:00","81","...","...","...","...","...","...","..."
"07","1003.8","...","1008.2","2018-07-27 22:32","997.3","2018-07-11 05:13","28.7","33.3","2018-07-17 11:45","24.1","2018-07-04 04:45","...","2.5","5","14.1","295","2018-07-02 09:21","146.0","...","11","...","...","...","...","32.5","2018-07-03 00:00","80","...","...","...","...","...","...","..."
"08","1002.2","...","1012.2","2018-08-31 10:11","993.6","2018-08-23 14:23","27.6","33.2","2018-08-16 13:06","23.2","2018-08-28 08:10","...","2.9","149","21.6","295","2018-08-23 15:56","1003.0","...","22","...","...","...","...","322.5","2018-08-23 00:00","85","...","...","...","...","...","...","..."
"09","1007.3","...","1014.7","2018-09-17 22:48","996.9","2018-09-15 16:32","27.9","32.5","2018-09-14 10:26","23.8","2018-09-08 06:27","...","3.5","33","18.0","34","2018-09-29 09:07","38.5","...","2","...","...","...","...","38.0","2018-09-08 00:00","80","...","...","...","...","...","...","..."
"10","1012.8","...","1019.1","2018-10-20 09:27","1006.3","2018-10-05 03:14","24.2","30.0","2018-10-01 11:16","17.8","2018-10-29 06:11","...","4.2","7","18.3","36","2018-10-04 18:36","1.5","...","2","...","...","...","...","1.0","2018-10-19 00:00","75","...","...","...","...","...","...","..."
"11","1015.4","...","1020.9","2018-11-29 09:34","1008.9","2018-11-02 02:37","22.9","27.8","2018-11-06 13:28","17.5","2018-11-24 06:52","...","3.8","8","14.8","35","2018-11-22 06:22","11.0","...","4","...","...","...","...","5.0","2018-11-28 00:00","82","...","...","...","...","...","...","..."
"12","1017.1","...","1024.3","2018-12-31 09:08","1009.2","2018-12-26 14:16","20.2","27.9","2018-12-04 13:45","13.1","2018-12-30 04:21","...","5.4","23","16.3","27","2018-12-27 05:39","0.0","...","0","...","...","...","...","0.0","2018-12-19 00:00","79","...","...","...","...","...","...","..."
