"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1014.7","...","1023.4","2020-01-01 09:26","1005.2","2020-01-26 15:22","17.7","29.0","2020-01-23 14:42","6.8","2020-01-31 05:10","...","2.1","2","13.7","6","2020-01-26 18:03","14.0","...","3","...","...","...","...","13.0","2020-01-26 00:00","82","...","...","...","...","...","...","..."
"02","1016.4","...","1024.2","2020-02-21 09:21","1007.3","2020-02-15 15:39","18.8","30.0","2020-02-29 14:47","8.7","2020-02-01 06:30","...","2.0","5","11.5","352","2020-02-07 15:28","4.5","...","2","...","...","...","...","4.0","2020-02-13 00:00","80","...","...","...","...","...","...","..."
"03","1011.3","...","1017.8","2020-03-16 10:00","1002.2","2020-03-09 14:55","21.9","32.2","2020-03-26 14:23","14.6","2020-03-05 05:59","...","1.9","21","14.3","1","2020-03-10 07:56","59.0","...","6","...","...","...","...","21.0","2020-03-28 00:00","80","...","...","...","...","...","...","..."
"04","1011.6","...","1016.2","2020-04-02 08:28","1006.6","2020-04-19 15:56","21.9","32.2","2020-04-19 13:39","12.1","2020-04-13 03:22","...","2.0","1","13.0","351","2020-04-12 15:05","36.0","...","5","...","...","...","...","13.0","2020-04-23 00:00","79","...","...","...","...","...","...","..."
"05","1005.5","...","1011.1","2020-05-01 09:26","998.4","2020-05-17 16:16","27.2","34.1","2020-05-08 13:04","21.2","2020-05-18 18:31","...","1.8","271","16.0","274","2020-05-18 18:30","324.5","...","14","...","...","...","...","97.0","2020-05-22 00:00","83","...","...","...","...","...","...","..."
"06","1005.2","...","1010.6","2020-06-14 22:14","1000.4","2020-06-12 14:49","29.0","35.7","2020-06-28 13:51","23.1","2020-06-08 16:20","...","1.9","124","16.1","272","2020-06-08 14:24","88.0","...","10","...","...","...","...","24.0","2020-06-27 00:00","79","...","...","...","...","...","...","..."
"07","1004.6","...","1009.0","2020-07-21 21:48","999.8","2020-07-14 15:52","29.4","35.5","2020-07-13 13:19","23.2","2020-07-29 16:55","...","1.8","87","16.2","212","2020-07-02 12:54","196.0","...","11","...","...","...","...","76.0","2020-07-29 00:00","80","...","...","...","...","...","...","..."
"08","1003.5","...","1011.4","2020-08-12 21:58","997.8","2020-08-31 14:33","28.0","35.3","2020-08-01 11:42","23.1","2020-08-18 17:08","...","1.9","8","14.8","280","2020-08-15 14:31","394.5","...","21","...","...","...","...","77.5","2020-08-27 00:00","83","...","...","...","...","...","...","..."
"09","1005.4","...","1010.9","2020-09-18 21:11","997.8","2020-09-01 04:03","28.0","35.4","2020-09-15 13:55","21.3","2020-09-06 23:48","...","1.5","1","11.4","170","2020-09-18 18:20","142.5","...","6","...","...","...","...","72.0","2020-09-18 00:00","77","...","...","...","...","...","...","..."
"10","1008.0","...","1013.9","2020-10-29 08:30","1001.4","2020-10-22 03:49","25.4","33.6","2020-10-02 12:27","19.3","2020-10-23 02:00","...","1.7","1","12.9","24","2020-10-22 15:28","1.5","...","2","...","...","...","...","1.0","2020-10-23 00:00","77","...","...","...","...","...","...","..."
"11","1012.0","...","1017.2","2020-11-30 09:39","1003.9","2020-11-06 14:31","23.2","32.0","2020-11-21 13:27","17.2","2020-11-11 06:22","...","1.6","1","9.3","309","2020-11-27 14:06","13.5","...","5","...","...","...","...","9.5","2020-11-09 00:00","80","...","...","...","...","...","...","..."
"12","1013.1","...","1021.6","2020-12-31 09:06","1006.9","2020-12-29 14:52","19.3","28.1","2020-12-13 12:56","9.4","2020-12-31 07:52","...","2.5","1","15.5","33","2020-12-30 09:57","14.0","...","5","...","...","...","...","5.0","2020-12-21 00:00","79","...","...","...","...","...","...","..."
