"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1017.6","...","1026.5","2020-01-01 10:02","1008.3","2020-01-26 14:31","18.0","27.9","2020-01-23 13:25","10.3","2020-01-31 06:59","...","4.3","25","17.3","2","2020-01-26 17:01","7.0","...","1","...","...","...","...","7.0","2020-01-26 00:00","82","...","...","...","...","...","...","..."
"02","1019.4","...","1027.0","2020-02-21 10:06","1010.4","2020-02-15 15:29","18.9","28.4","2020-02-15 15:17","10.4","2020-02-01 06:52","...","4.2","27","19.0","23","2020-02-17 01:32","0.0","...","0","...","...","...","...","0.0","2020-02-13 00:00","80","...","...","...","...","...","...","..."
"03","1014.2","...","1020.7","2020-03-16 10:02","1005.6","2020-03-09 15:24","22.0","30.2","2020-03-26 15:08","14.9","2020-03-05 06:02","...","3.7","1","16.6","33","2020-03-04 20:21","40.5","...","5","...","...","...","...","13.0","2020-03-28 00:00","80","...","...","...","...","...","...","..."
"04","1014.2","...","1018.6","2020-04-13 22:10","1009.9","2020-04-19 16:36","22.8","30.0","2020-04-19 13:19","15.3","2020-04-13 06:07","...","3.6","1","16.4","23","2020-04-12 14:35","9.5","...","2","...","...","...","...","7.5","2020-04-23 00:00","78","...","...","...","...","...","...","..."
"05","1008.3","...","1013.9","2020-05-01 09:30","1001.6","2020-05-17 16:05","27.4","32.5","2020-05-16 12:50","22.5","2020-05-20 07:39","...","2.2","16","13.7","353","2020-05-12 17:19","318.5","...","12","...","...","...","...","102.0","2020-05-22 00:00","84","...","...","...","...","...","...","..."
"06","1008.0","...","1013.3","2020-06-14 22:09","1003.6","2020-06-12 17:03","29.4","33.7","2020-06-13 14:08","23.3","2020-06-08 14:23","...","2.2","147","19.7","268","2020-06-08 14:02","76.0","...","7","...","...","...","...","49.0","2020-06-29 00:00","81","...","...","...","...","...","...","..."
"07","1007.4","...","1011.4","2020-07-21 09:00","1002.9","2020-07-14 15:44","29.6","33.5","2020-07-27 13:13","25.1","2020-07-16 06:55","...","2.0","143","12.5","199","2020-07-02 16:19","129.5","...","14","...","...","...","...","29.5","2020-07-16 00:00","78","...","...","...","...","...","...","..."
"08","1006.2","...","1014.1","2020-08-12 21:36","1000.5","2020-08-31 15:02","28.6","33.5","2020-08-05 11:13","24.0","2020-08-04 01:32","...","2.4","54","17.9","322","2020-08-08 10:48","383.5","...","19","...","...","...","...","78.5","2020-08-01 00:00","82","...","...","...","...","...","...","..."
"09","1008.2","...","1013.8","2020-09-18 21:15","1000.6","2020-09-01 04:05","28.4","33.0","2020-09-18 12:30","23.3","2020-09-07 05:46","...","2.9","13","13.0","3","2020-09-24 17:01","34.0","...","5","...","...","...","...","19.5","2020-09-18 00:00","76","...","...","...","...","...","...","..."
"10","1010.8","...","1016.7","2020-10-29 08:29","1004.2","2020-10-22 03:25","25.4","30.3","2020-10-27 11:04","20.0","2020-10-23 01:22","...","4.3","30","19.4","24","2020-10-22 19:00","5.0","...","2","...","...","...","...","3.5","2020-10-23 00:00","77","...","...","...","...","...","...","..."
"11","1014.8","...","1020.1","2020-11-28 08:44","1007.1","2020-11-06 17:07","23.2","28.4","2020-11-17 10:46","19.2","2020-11-11 05:25","...","4.0","29","13.8","357","2020-11-06 12:38","28.0","...","3","...","...","...","...","24.0","2020-11-07 00:00","81","...","...","...","...","...","...","..."
"12","1016.1","...","1024.5","2020-12-31 09:48","1009.8","2020-12-29 15:33","19.1","24.6","2020-12-27 13:12","9.1","2020-12-31 10:40","...","5.7","25","23.5","21","2020-12-30 11:06","21.5","...","6","...","...","...","...","12.0","2020-12-27 00:00","80","...","...","...","...","...","...","..."
