"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1013.2","...","1023.4","2018-01-12 08:32","1005.6","2018-01-22 13:51","16.8","27.4","2018-01-08 10:29","5.0","2018-01-13 06:59","...","2.3","18","14.1","30","2018-01-09 03:49","62.5","...","13","...","...","...","...","21.5","2018-01-09 00:00","82","...","...","...","...","...","...","..."
"02","1014.4","...","1022.2","2018-02-12 09:53","1007.7","2018-02-21 15:33","16.3","31.6","2018-02-15 12:52","7.3","2018-02-06 06:42","...","2.6","19","12.5","18","2018-02-11 04:54","18.5","...","8","...","...","...","...","6.5","2018-02-22 00:00","80","...","...","...","...","...","...","..."
"03","1011.6","...","1018.6","2018-03-11 09:06","1005.0","2018-03-19 17:04","20.7","31.5","2018-03-05 12:41","10.9","2018-03-09 01:02","...","2.0","18","13.0","18","2018-03-21 12:35","29.0","...","3","...","...","...","...","17.5","2018-03-15 00:00","76","...","...","...","...","...","...","..."
"04","1009.8","...","1018.2","2018-04-07 09:34","1002.6","2018-04-23 16:19","24.2","33.1","2018-04-22 11:54","13.3","2018-04-08 06:07","...","1.8","13","11.9","22","2018-04-06 21:35","7.5","...","1","...","...","...","...","7.5","2018-04-17 00:00","74","...","...","...","...","...","...","..."
"05","1007.1","...","1013.8","2018-05-04 21:58","1002.4","2018-05-25 16:08","27.9","35.4","2018-05-28 11:34","20.4","2018-05-10 05:40","...","1.8","252","9.6","208","2018-05-07 14:27","62.0","...","2","...","...","...","...","34.5","2018-05-09 00:00","77","...","...","...","...","...","...","..."
"06","1002.0","...","1008.7","2018-06-25 22:28","990.5","2018-06-15 03:22","27.9","35.7","2018-06-05 12:57","23.1","2018-06-19 08:22","...","2.0","99","13.1","171","2018-06-22 11:06","400.0","...","15","...","...","...","...","119.5","2018-06-19 00:00","82","...","...","...","...","...","...","..."
"07","1001.1","...","1005.5","2018-07-27 22:38","994.3","2018-07-21 14:37","28.3","35.5","2018-07-18 12:50","23.2","2018-07-03 04:28","...","1.8","7","11.5","357","2018-07-10 15:11","345.0","...","19","...","...","...","...","172.0","2018-07-02 00:00","85","...","...","...","...","...","...","..."
"08","999.5","...","1009.5","2018-08-31 10:18","990.0","2018-08-23 16:11","27.5","34.5","2018-08-05 11:55","21.8","2018-08-23 21:16","...","2.2","61","66.1","277","2018-08-01 16:54","869.0","...","23","...","...","...","...","391.0","2018-08-24 00:00","88","...","...","...","...","...","...","..."
"09","1004.4","...","1012.0","2018-09-17 22:50","994.4","2018-09-15 16:23","27.6","33.7","2018-09-13 12:32","20.8","2018-09-30 04:54","...","1.8","25","15.3","30","2018-09-29 10:12","17.5","...","7","...","...","...","...","7.0","2018-09-08 00:00","85","...","...","...","...","...","...","..."
"10","1009.9","...","1016.1","2018-10-20 09:31","1003.2","2018-10-04 14:24","24.1","32.5","2018-10-08 13:14","15.5","2018-10-29 05:48","...","1.7","1","14.6","18","2018-10-04 16:42","2.5","...","3","...","...","...","...","1.5","2018-10-19 00:00","81","...","...","...","...","...","...","..."
"11","1012.5","...","1017.9","2018-11-29 09:47","1006.5","2018-11-02 01:41","22.6","31.1","2018-11-09 13:01","15.8","2018-11-24 06:20","...","1.1","2","10.2","24","2018-11-25 20:00","4.5","...","3","...","...","...","...","2.0","2018-11-26 00:00","86","...","...","...","...","...","...","..."
"12","1014.2","...","1021.4","2018-12-31 09:45","1006.0","2018-12-26 14:26","20.2","30.5","2018-12-06 14:29","11.3","2018-12-30 05:37","...","2.4","25","11.4","4","2018-12-27 15:35","0.0","...","0","...","...","...","...","0.0","2018-12-19 00:00","79","...","...","...","...","...","...","..."
