"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1002.2","...","1012.5","2018-01-13 09:11","994.7","2018-01-22 14:33","17.5","28.1","2018-01-18 13:22","5.5","2018-01-13 05:51","...","0.9","291","10.1","104","2018-01-30 08:48","46.5","...","9","...","...","...","...","12.0","2018-01-04 00:00","88","...","...","...","...","...","...","..."
"02","1003.3","...","1011.0","2018-02-12 09:21","996.5","2018-02-21 14:41","17.2","33.1","2018-02-15 13:42","7.6","2018-02-06 03:23","...","1.0","109","8.9","296","2018-02-02 11:40","21.0","...","5","...","...","...","...","11.0","2018-02-22 00:00","87","...","...","...","...","...","...","..."
"03","1000.7","...","1007.7","2018-03-11 08:03","994.0","2018-03-19 14:46","21.3","34.5","2018-03-04 13:15","10.3","2018-03-09 04:43","...","1.1","125","8.7","288","2018-03-27 15:29","30.0","...","5","...","...","...","...","16.5","2018-03-15 00:00","76","...","...","...","...","...","...","..."
"04","999.0","...","1007.5","2018-04-07 09:22","992.5","2018-04-23 15:03","24.6","36.5","2018-04-23 11:11","13.5","2018-04-08 05:51","...","1.1","117","10.8","112","2018-04-23 13:55","3.5","...","5","...","...","...","...","1.0","2018-04-15 00:00","75","...","...","...","...","...","...","..."
"05","996.5","...","1003.3","2018-05-04 21:41","991.7","2018-05-25 16:07","28.3","38.8","2018-05-31 13:21","21.7","2018-05-05 05:31","...","0.9","4","8.7","100","2018-05-08 09:34","36.0","...","4","...","...","...","...","19.5","2018-05-09 00:00","76","...","...","...","...","...","...","..."
"06","991.7","...","998.5","2018-06-25 22:18","979.7","2018-06-15 03:23","27.4","38.6","2018-06-04 12:23","22.7","2018-06-28 04:31","...","0.9","142","12.2","180","2018-06-18 15:12","624.5","...","17","...","...","...","...","109.5","2018-06-19 00:00","85","...","...","...","...","...","...","..."
"07","991.0","...","995.3","2018-07-27 22:08","984.7","2018-07-21 14:41","27.2","36.5","2018-07-17 14:24","22.5","2018-07-08 04:44","...","0.9","6","16.3","46","2018-07-14 15:11","933.5","...","21","...","...","...","...","178.5","2018-07-02 00:00","89","...","...","...","...","...","...","..."
"08","989.6","...","999.5","2018-08-31 09:50","981.0","2018-08-12 15:12","26.4","35.7","2018-08-05 14:41","21.5","2018-08-23 19:46","...","0.8","79","14.5","167","2018-08-29 10:52","1079.5","...","28","...","...","...","...","281.5","2018-08-23 00:00","91","...","...","...","...","...","...","..."
"09","994.2","...","1001.8","2018-09-17 22:31","984.3","2018-09-15 16:13","27.0","35.2","2018-09-23 13:31","21.3","2018-09-30 05:02","...","0.8","1","11.8","340","2018-09-08 14:27","173.5","...","14","...","...","...","...","74.0","2018-09-07 00:00","87","...","...","...","...","...","...","..."
"10","999.4","...","1005.6","2018-10-20 09:07","992.3","2018-10-04 15:11","24.6","34.5","2018-10-08 13:46","15.7","2018-10-29 05:34","...","0.8","298","9.6","3","2018-10-04 15:37","3.0","...","3","...","...","...","...","1.5","2018-10-31 00:00","84","...","...","...","...","...","...","..."
"11","1001.9","...","1007.2","2018-11-30 09:41","995.7","2018-11-02 02:44","23.3","33.3","2018-11-03 14:02","16.1","2018-11-24 02:31","...","0.8","116","8.2","283","2018-11-19 12:20","2.5","...","4","...","...","...","...","1.0","2018-11-28 00:00","86","...","...","...","...","...","...","..."
"12","1003.5","...","1010.3","2018-12-31 08:54","995.0","2018-12-26 14:31","21.0","33.2","2018-12-05 13:34","11.2","2018-12-30 06:01","...","0.9","291","7.7","302","2018-12-01 12:50","2.0","...","1","...","...","...","...","2.0","2018-12-08 00:00","81","...","...","...","...","...","...","..."
