"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.7","...","1025.6","2020-01-01 09:12","1007.1","2020-01-26 15:13","18.3","29.1","2020-01-23 13:41","8.2","2020-01-31 06:43","...","2.4","346","12.8","4","2020-01-30 10:37","13.0","...","3","...","...","...","...","12.0","2020-01-26 00:00","82","...","...","...","...","...","...","..."
"02","1018.4","...","1026.2","2020-02-21 09:18","1009.1","2020-02-15 15:23","19.4","30.1","2020-02-29 14:42","9.7","2020-02-01 06:51","...","2.3","345","12.3","2","2020-02-17 01:39","0.0","...","0","...","...","...","...","0.0","2020-02-13 00:00","79","...","...","...","...","...","...","..."
"03","1013.2","...","1019.7","2020-03-16 09:54","1004.6","2020-03-09 14:43","22.6","32.0","2020-03-26 14:53","15.0","2020-03-05 05:29","...","2.2","353","10.9","346","2020-03-28 15:05","31.5","...","4","...","...","...","...","13.0","2020-03-28 00:00","78","...","...","...","...","...","...","..."
"04","1013.6","...","1018.0","2020-04-02 08:42","1008.7","2020-04-19 16:01","22.8","31.7","2020-04-18 12:55","14.0","2020-04-13 05:32","...","2.3","1","15.0","339","2020-04-12 15:19","21.0","...","5","...","...","...","...","9.0","2020-04-06 00:00","76","...","...","...","...","...","...","..."
"05","1007.4","...","1012.8","2020-05-01 09:24","1000.3","2020-05-17 16:04","27.9","34.5","2020-05-16 14:01","20.0","2020-05-02 16:54","...","1.9","3","11.6","186","2020-05-20 14:04","287.0","...","15","...","...","...","...","100.0","2020-05-22 00:00","79","...","...","...","...","...","...","..."
"06","1007.0","...","1012.5","2020-06-14 22:01","1002.5","2020-06-12 16:52","29.7","34.6","2020-06-28 12:51","24.0","2020-06-08 17:02","...","2.0","148","14.9","286","2020-06-07 17:00","80.0","...","10","...","...","...","...","26.5","2020-06-21 00:00","75","...","...","...","...","...","...","..."
"07","1006.5","...","1010.5","2020-07-21 08:51","1002.0","2020-07-14 15:43","29.8","35.1","2020-07-13 12:41","25.2","2020-07-28 17:30","...","1.9","145","12.4","198","2020-07-02 15:07","153.5","...","13","...","...","...","...","40.0","2020-07-16 00:00","76","...","...","...","...","...","...","..."
"08","1005.4","...","1013.2","2020-08-12 21:32","999.5","2020-08-31 14:42","28.6","35.0","2020-08-18 12:02","24.0","2020-08-27 14:19","...","2.1","6","12.7","180","2020-08-11 09:43","478.0","...","15","...","...","...","...","171.5","2020-08-26 00:00","82","...","...","...","...","...","...","..."
"09","1007.3","...","1012.6","2020-09-18 21:05","999.7","2020-09-01 03:50","28.8","34.7","2020-09-18 12:11","22.5","2020-09-07 01:53","...","2.0","344","12.0","322","2020-09-01 13:47","15.5","...","3","...","...","...","...","10.5","2020-09-12 00:00","75","...","...","...","...","...","...","..."
"10","1009.9","...","1015.8","2020-10-29 08:21","1003.3","2020-10-22 03:52","26.3","33.1","2020-10-05 10:04","20.0","2020-10-23 01:21","...","2.3","350","15.1","12","2020-10-22 19:22","1.0","...","1","...","...","...","...","1.0","2020-10-23 00:00","75","...","...","...","...","...","...","..."
"11","1014.0","...","1019.3","2020-11-30 09:43","1006.0","2020-11-06 16:21","23.8","31.1","2020-11-21 12:22","18.2","2020-11-11 05:41","...","2.2","345","10.7","347","2020-11-06 13:53","24.0","...","2","...","...","...","...","12.5","2020-11-07 00:00","81","...","...","...","...","...","...","..."
"12","1015.3","...","1024.0","2020-12-31 09:32","1008.8","2020-12-29 15:13","19.6","28.5","2020-12-13 13:21","9.7","2020-12-31 06:53","...","3.1","357","18.4","347","2020-12-30 10:12","9.5","...","5","...","...","...","...","4.0","2020-12-21 00:00","82","...","...","...","...","...","...","..."
