"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1018.7","...","1030.7","2018-01-12 09:22","1009.8","2018-01-08 15:23","15.9","24.2","2018-01-04 14:32","7.6","2018-01-12 05:38","...","1.7","265","10.5","11","2018-01-22 11:50","602.5","...","25","...","...","...","...","98.5","2018-01-30 00:00","84","...","...","...","...","...","...","..."
"02","1019.6","...","1029.2","2018-02-12 09:47","1009.7","2018-02-28 17:07","15.5","27.5","2018-02-15 15:30","7.7","2018-02-05 06:47","...","1.8","266","10.6","103","2018-02-27 12:19","120.5","...","15","...","...","...","...","25.0","2018-02-22 00:00","80","...","...","...","...","...","...","..."
"03","1015.9","...","1024.3","2018-03-09 09:14","1006.6","2018-03-20 15:09","19.8","29.1","2018-03-19 13:31","10.7","2018-03-22 06:15","...","2.0","268","12.5","144","2018-03-25 11:20","35.5","...","11","...","...","...","...","8.0","2018-03-15 00:00","73","...","...","...","...","...","...","..."
"04","1013.9","...","1026.1","2018-04-07 08:24","1006.2","2018-04-24 02:16","22.1","31.5","2018-04-13 13:08","12.6","2018-04-08 03:02","...","1.7","265","13.1","33","2018-04-06 10:37","26.0","...","6","...","...","...","...","8.5","2018-04-17 00:00","75","...","...","...","...","...","...","..."
"05","1010.0","...","1019.2","2018-05-03 10:02","1003.9","2018-05-08 02:38","26.6","35.2","2018-05-30 13:17","19.7","2018-05-04 01:00","...","1.1","79","9.9","39","2018-05-08 17:15","51.5","...","4","...","...","...","...","44.5","2018-05-08 00:00","76","...","...","...","...","...","...","..."
"06","1005.2","...","1013.1","2018-06-01 21:23","995.3","2018-06-15 02:56","27.1","34.1","2018-06-28 13:40","21.6","2018-06-12 05:09","...","1.3","2","9.8","28","2018-06-16 15:35","258.5","...","14","...","...","...","...","104.5","2018-06-06 00:00","79","...","...","...","...","...","...","..."
"07","1003.6","...","1008.7","2018-07-09 07:36","988.6","2018-07-11 01:22","28.8","35.3","2018-07-21 12:31","24.3","2018-07-10 05:20","...","2.1","87","14.7","138","2018-07-11 15:00","57.5","...","7","...","...","...","...","24.0","2018-07-11 00:00","73","...","...","...","...","...","...","..."
"08","1001.7","...","1012.5","2018-08-30 23:08","993.0","2018-08-23 16:33","28.6","35.5","2018-08-12 10:45","23.2","2018-08-30 19:34","...","1.7","80","12.0","99","2018-08-23 14:59","105.5","...","11","...","...","...","...","44.5","2018-08-30 00:00","75","...","...","...","...","...","...","..."
"09","1008.4","...","1015.2","2018-09-18 08:26","1001.5","2018-09-04 15:09","27.1","33.9","2018-09-21 13:32","20.4","2018-09-30 04:59","...","1.7","4","19.7","100","2018-09-15 17:57","230.0","...","13","...","...","...","...","52.5","2018-09-09 00:00","76","...","...","...","...","...","...","..."
"10","1015.5","...","1021.9","2018-10-20 09:55","1004.6","2018-10-05 03:19","22.2","30.8","2018-10-05 11:00","15.1","2018-10-29 03:18","...","1.4","26","10.5","298","2018-10-05 00:28","675.5","...","18","...","...","...","...","197.5","2018-10-08 00:00","79","...","...","...","...","...","...","..."
"11","1017.7","...","1024.4","2018-11-29 09:11","1011.5","2018-11-12 14:48","21.5","29.2","2018-11-08 13:46","16.0","2018-11-23 06:38","...","1.1","264","9.5","2","2018-11-09 09:36","528.5","...","18","...","...","...","...","118.0","2018-11-02 00:00","85","...","...","...","...","...","...","..."
"12","1020.5","...","1031.6","2018-12-29 08:55","1009.5","2018-12-26 12:44","18.6","29.2","2018-12-04 11:10","11.4","2018-12-18 04:29","...","1.2","3","9.3","89","2018-12-30 12:49","733.0","...","16","...","...","...","...","153.5","2018-12-31 00:00","83","...","...","...","...","...","...","..."
