"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1019.5","...","1029.8","2020-01-01 09:11","1006.8","2020-01-26 19:16","17.8","27.7","2020-01-07 13:17","7.5","2020-01-30 22:13","...","0.6","96","12.4","159","2020-01-07 03:56","57.0","...","13","...","...","...","...","14.0","2020-01-06 00:00","83","...","...","...","...","...","...","..."
"02","1021.7","...","1030.8","2020-02-18 08:36","1012.0","2020-02-15 15:14","18.0","28.4","2020-02-26 12:25","8.1","2020-02-01 03:16","...","0.4","109","9.6","282","2020-02-08 14:21","211.5","...","17","...","...","...","...","48.5","2020-02-22 00:00","85","...","...","...","...","...","...","..."
"03","1016.0","...","1024.5","2020-03-16 09:16","1003.6","2020-03-09 14:57","19.8","29.4","2020-03-09 12:02","12.0","2020-03-16 06:10","...","0.4","1","11.6","162","2020-03-26 16:00","185.0","...","17","...","...","...","...","44.5","2020-03-25 00:00","89","...","...","...","...","...","...","..."
"04","1016.7","...","1022.2","2020-04-05 10:07","1008.8","2020-04-19 16:12","20.1","31.1","2020-04-19 13:46","12.1","2020-04-13 02:03","...","0.4","3","10.1","256","2020-04-12 10:23","118.0","...","17","...","...","...","...","29.5","2020-04-24 00:00","86","...","...","...","...","...","...","..."
"05","1008.9","...","1015.5","2020-05-13 10:29","1001.2","2020-05-22 14:18","25.2","33.2","2020-05-31 10:04","20.4","2020-05-01 04:56","...","0.2","99","10.6","189","2020-05-17 11:22","307.5","...","21","...","...","...","...","64.5","2020-05-28 00:00","94","...","...","...","...","...","...","..."
"06","1007.5","...","1014.0","2020-06-14 22:28","1003.0","2020-06-30 15:59","28.3","35.2","2020-06-28 13:20","23.3","2020-06-08 00:01","...","0.4","105","16.4","141","2020-06-13 15:26","156.0","...","7","...","...","...","...","87.0","2020-06-07 00:00","86","...","...","...","...","...","...","..."
"07","1007.4","...","1012.1","2020-07-21 22:44","1001.8","2020-07-09 16:36","28.7","35.3","2020-07-23 14:20","23.4","2020-07-14 04:57","...","0.4","85","12.5","165","2020-07-31 09:38","93.5","...","13","...","...","...","...","17.0","2020-07-02 00:00","86","...","...","...","...","...","...","..."
"08","1006.4","...","1015.0","2020-08-12 21:51","999.1","2020-08-25 15:33","28.5","34.9","2020-08-05 12:04","23.2","2020-08-25 04:56","...","0.9","125","15.0","167","2020-08-03 23:04","204.5","...","9","...","...","...","...","145.5","2020-08-22 00:00","83","...","...","...","...","...","...","..."
"09","1009.0","...","1013.5","2020-09-18 20:29","999.2","2020-09-01 03:02","26.4","35.4","2020-09-18 14:01","20.0","2020-09-07 00:16","...","0.5","9","12.0","162","2020-09-17 10:00","97.0","...","14","...","...","...","...","39.5","2020-09-20 00:00","85","...","...","...","...","...","...","..."
"10","1014.5","...","1021.5","2020-10-30 20:55","1006.4","2020-10-22 03:47","23.4","31.9","2020-10-03 11:16","18.1","2020-10-25 01:10","...","0.6","107","10.6","274","2020-10-23 06:11","1186.0","...","24","...","...","...","...","289.5","2020-10-16 00:00","91","...","...","...","...","...","...","..."
"11","1018.6","...","1025.9","2020-11-30 08:57","1010.0","2020-11-19 15:12","21.4","30.5","2020-11-07 11:12","17.5","2020-11-30 06:59","...","0.5","91","12.9","273","2020-11-03 05:13","1053.0","...","27","...","...","...","...","154.5","2020-11-21 00:00","96","...","...","...","...","...","...","..."
"12","1019.9","...","1030.4","2020-12-31 09:20","1011.1","2020-12-29 14:35","17.8","26.3","2020-12-18 13:16","8.3","2020-12-31 07:08","...","0.6","280","11.7","266","2020-12-30 20:06","985.0","...","28","...","...","...","...","225.5","2020-12-01 00:00","96","...","...","...","...","...","...","..."
