"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","957.5","...","964.9","2019-01-01 09:00","952.5","2019-01-11 13:52","15.1","24.2","2019-01-31 11:52","8.4","2019-01-26 17:33","...","1.8","2","10.9","4","2019-01-26 12:31","163.0","...","18","...","...","...","...","27.0","2019-01-01 00:00","90","...","...","...","...","...","...","..."
"02","954.9","...","962.7","2019-02-11 20:58","949.6","2019-02-06 15:24","16.4","24.5","2019-02-20 10:37","10.1","2019-02-23 07:06","...","1.5","4","13.6","205","2019-02-02 10:56","122.5","...","17","...","...","...","...","39.5","2019-02-03 00:00","94","...","...","...","...","...","...","..."
"03","952.5","...","959.7","2019-03-16 09:26","944.7","2019-03-10 03:20","16.5","27.6","2019-03-21 13:27","8.8","2019-03-07 20:55","...","1.6","56","13.7","180","2019-03-05 12:38","121.5","...","18","...","...","...","...","23.0","2019-03-07 00:00","90","...","...","...","...","...","...","..."
"04","949.8","...","959.4","2019-04-01 08:37","942.6","2019-04-30 16:06","20.3","29.1","2019-04-24 10:06","12.6","2019-04-01 06:07","...","1.4","167","14.1","200","2019-04-09 12:26","168.0","...","14","...","...","...","...","129.0","2019-04-27 00:00","92","...","...","...","...","...","...","..."
"05","948.1","...","954.2","2019-05-03 21:27","941.6","2019-05-17 16:54","20.7","30.3","2019-05-19 10:16","14.2","2019-05-03 05:39","...","1.4","9","9.9","190","2019-05-24 20:11","234.0","...","22","...","...","...","...","33.0","2019-05-02 00:00","91","...","...","...","...","...","...","..."
"06","945.0","...","950.8","2019-06-05 22:23","937.4","2019-06-14 03:50","24.4","31.2","2019-06-19 10:58","17.6","2019-06-16 04:18","...","1.2","12","11.7","191","2019-06-30 12:55","126.5","...","15","...","...","...","...","34.0","2019-06-11 00:00","90","...","...","...","...","...","...","..."
"07","944.2","...","949.0","2019-07-11 19:35","933.4","2019-07-18 12:18","25.7","32.9","2019-07-18 12:14","21.2","2019-07-23 03:52","...","1.6","1","15.8","183","2019-07-29 17:37","69.0","...","13","...","...","...","...","26.5","2019-07-27 00:00","87","...","...","...","...","...","...","..."
"08","941.9","...","950.7","2019-08-26 20:26","925.0","2019-08-09 17:09","25.4","33.7","2019-08-10 10:34","20.7","2019-08-29 19:44","...","1.9","1","27.9","179","2019-08-24 13:58","352.5","...","19","...","...","...","...","109.5","2019-08-18 00:00","87","...","...","...","...","...","...","..."
"09","947.0","...","956.2","2019-09-24 09:14","932.1","2019-09-30 20:22","23.4","30.8","2019-09-16 11:48","18.4","2019-09-22 21:30","...","2.4","334","24.7","13","2019-09-30 15:50","542.5","...","11","...","...","...","...","136.5","2019-09-30 00:00","83","...","...","...","...","...","...","..."
"10","952.4","...","959.3","2019-10-15 09:20","935.8","2019-10-01 00:02","20.7","30.8","2019-10-02 12:56","15.5","2019-10-21 23:01","...","1.9","2","12.2","187","2019-10-01 12:31","287.0","...","9","...","...","...","...","203.0","2019-10-31 00:00","86","...","...","...","...","...","...","..."
"11","954.3","...","960.9","2019-11-26 08:27","947.6","2019-11-06 14:50","17.8","26.9","2019-11-23 11:30","12.0","2019-11-28 22:06","...","2.0","6","11.9","197","2019-11-30 15:17","89.0","...","14","...","...","...","...","17.0","2019-11-07 00:00","89","...","...","...","...","...","...","..."
"12","956.3","...","964.8","2019-12-31 09:43","948.8","2019-12-22 14:55","15.5","25.0","2019-12-18 10:40","9.1","2019-12-03 03:19","...","1.9","7","15.1","34","2019-12-02 20:38","137.0","...","13","...","...","...","...","43.0","2019-12-06 00:00","88","...","...","...","...","...","...","..."
