"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1019.3","...","1031.1","2018-01-12 09:19","1010.9","2018-01-08 14:11","17.1","24.7","2018-01-18 11:42","9.1","2018-01-13 06:16","...","3.4","313","20.3","65","2018-01-08 19:05","185.0","...","20","...","...","...","...","70.0","2018-01-07 00:00","77","...","...","...","...","...","...","..."
"02","1020.2","...","1029.7","2018-02-12 09:21","1010.7","2018-02-28 17:04","16.6","25.2","2018-02-10 12:04","9.3","2018-02-05 08:18","...","3.7","314","18.6","326","2018-02-11 00:58","1.5","...","2","...","...","...","...","1.0","2018-02-07 00:00","73","...","...","...","...","...","...","..."
"03","1016.8","...","1025.0","2018-03-09 10:21","1006.2","2018-03-20 15:01","20.1","28.3","2018-03-05 12:50","11.9","2018-03-10 05:47","...","3.4","334","19.3","354","2018-03-08 22:57","55.5","...","13","...","...","...","...","27.5","2018-03-02 00:00","73","...","...","...","...","...","...","..."
"04","1015.0","...","1026.3","2018-04-07 09:13","1006.9","2018-04-24 02:34","22.0","29.5","2018-04-24 11:07","13.3","2018-04-08 02:56","...","3.5","337","18.5","326","2018-04-06 15:05","166.5","...","7","...","...","...","...","139.5","2018-04-23 00:00","76","...","...","...","...","...","...","..."
"05","1011.2","...","1020.2","2018-05-04 09:06","1004.9","2018-05-08 01:10","25.9","31.4","2018-05-28 11:38","19.5","2018-05-04 04:43","...","2.9","335","13.0","307","2018-05-03 07:25","17.5","...","8","...","...","...","...","7.5","2018-05-06 00:00","79","...","...","...","...","...","...","..."
"06","1006.1","...","1013.5","2018-06-01 22:20","996.4","2018-06-15 03:23","26.7","32.9","2018-06-21 11:19","22.1","2018-06-16 04:17","...","3.1","341","17.2","312","2018-06-15 16:37","385.0","...","14","...","...","...","...","165.0","2018-06-18 00:00","81","...","...","...","...","...","...","..."
"07","1004.9","...","1010.2","2018-07-09 08:33","991.6","2018-07-11 00:57","27.5","33.6","2018-07-10 13:35","23.1","2018-07-10 03:57","...","3.4","339","24.3","318","2018-07-10 17:18","86.5","...","8","...","...","...","...","23.5","2018-07-10 00:00","79","...","...","...","...","...","...","..."
"08","1002.8","...","1013.5","2018-08-30 21:32","993.2","2018-08-23 17:02","27.3","33.3","2018-08-13 09:39","23.8","2018-08-30 17:19","...","2.9","334","15.1","173","2018-08-28 00:38","249.5","...","15","...","...","...","...","125.5","2018-08-30 00:00","80","...","...","...","...","...","...","..."
"09","1009.2","...","1016.3","2018-09-18 09:02","1001.9","2018-09-29 04:15","26.6","31.8","2018-09-06 09:02","22.0","2018-09-30 22:02","...","3.1","336","20.1","322","2018-09-28 11:00","361.5","...","11","...","...","...","...","61.0","2018-09-09 00:00","77","...","...","...","...","...","...","..."
"10","1015.7","...","1022.2","2018-10-20 08:48","1005.4","2018-10-05 01:18","23.1","30.1","2018-10-07 12:07","14.6","2018-10-29 05:00","...","3.0","331","21.4","349","2018-10-04 10:23","257.0","...","16","...","...","...","...","70.0","2018-10-08 00:00","73","...","...","...","...","...","...","..."
"11","1018.2","...","1024.7","2018-11-29 09:42","1012.1","2018-11-12 14:31","21.9","28.1","2018-11-03 10:52","17.5","2018-11-30 05:08","...","2.6","338","16.2","73","2018-11-19 10:13","445.0","...","15","...","...","...","...","185.5","2018-11-09 00:00","81","...","...","...","...","...","...","..."
"12","1020.7","...","1031.2","2018-12-29 08:45","1009.3","2018-12-26 13:49","19.7","28.1","2018-12-04 14:41","11.4","2018-12-18 05:09","...","2.8","335","17.1","83","2018-12-17 02:17","170.0","...","13","...","...","...","...","62.5","2018-12-30 00:00","76","...","...","...","...","...","...","..."
