"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","835.0","...","842.3","2020-01-01 08:42","827.1","2020-01-27 04:04","8.1","19.1","2020-01-07 10:10","-4.3","2020-01-31 06:36","...","0.5","317","9.6","77","2020-01-20 10:41","50.5","...","16","...","...","...","...","23.0","2020-01-26 00:00","96","...","...","...","...","...","...","..."
"02","837.0","...","843.2","2020-02-22 09:01","832.1","2020-02-29 14:57","7.9","20.3","2020-02-25 11:35","-3.1","2020-02-18 01:07","...","0.4","315","6.4","271","2020-02-11 18:08","84.5","...","19","...","...","...","...","17.0","2020-02-05 00:00","99","...","...","...","...","...","...","..."
"03","832.4","...","837.7","2020-03-16 09:18","826.0","2020-03-09 15:07","11.3","23.3","2020-03-22 13:01","1.5","2020-03-16 06:10","...","0.4","163","7.2","358","2020-03-09 22:12","111.5","...","18","...","...","...","...","29.5","2020-03-10 00:00","98","...","...","...","...","...","...","..."
"04","834.3","...","838.2","2020-04-02 08:54","828.9","2020-04-12 15:27","10.9","24.0","2020-04-19 11:26","1.0","2020-04-12 23:29","...","0.4","158","8.2","320","2020-04-12 16:14","124.5","...","22","...","...","...","...","23.5","2020-04-23 00:00","94","...","...","...","...","...","...","..."
"05","831.4","...","835.4","2020-05-13 21:35","825.1","2020-05-22 16:07","16.7","24.8","2020-05-06 11:26","11.0","2020-05-01 04:00","...","0.4","314","7.3","358","2020-05-05 23:42","276.5","...","24","...","...","...","...","56.0","2020-05-22 00:00","98","...","...","...","...","...","...","..."
"06","831.8","...","836.9","2020-06-14 21:55","828.3","2020-06-21 17:34","18.4","27.2","2020-06-22 09:12","13.5","2020-06-04 03:32","...","0.6","318","7.7","329","2020-06-26 13:15","242.5","...","21","...","...","...","...","52.0","2020-06-26 00:00","X","...","...","...","...","...","...","..."
"07","832.1","...","835.7","2020-07-21 22:11","827.7","2020-07-09 14:34","18.7","27.4","2020-07-31 12:23","14.6","2020-07-28 01:16","...","0.6","313","9.6","265","2020-07-19 13:15","495.5","...","24","...","...","...","...","75.5","2020-07-02 00:00","94","...","...","...","...","...","...","..."
"08","831.4","...","838.5","2020-08-12 21:42","825.8","2020-08-03 14:04","18.6","27.6","2020-08-26 11:06","14.2","2020-08-15 05:36","...","0.5","338","11.0","301","2020-08-03 12:20","215.5","...","21","...","...","...","...","57.0","2020-08-26 00:00","89","...","...","...","...","...","...","..."
"09","832.7","...","837.3","2020-09-19 08:28","825.8","2020-09-01 03:35","17.2","26.8","2020-09-17 11:28","10.9","2020-09-30 20:40","...","0.4","311","8.0","317","2020-09-06 06:09","205.5","...","25","...","...","...","...","24.5","2020-09-14 00:00","88","...","...","...","...","...","...","..."
"10","835.2","...","839.8","2020-10-29 08:41","829.7","2020-10-22 04:40","13.9","25.7","2020-10-04 14:23","4.9","2020-10-31 02:47","...","0.1","310","3.4","323","2020-10-03 04:47","542.0","...","28","...","...","...","...","75.5","2020-10-17 00:00","88","...","...","...","...","...","...","..."
"11","837.7","...","841.5","2020-11-23 09:04","832.9","2020-11-19 15:30","12.4","24.0","2020-11-19 12:04","7.1","2020-11-03 21:32","...","0.2","310","5.9","272","2020-11-22 10:14","588.0","...","28","...","...","...","...","109.0","2020-11-13 00:00","92","...","...","...","...","...","...","..."
"12","836.5","...","840.7","2020-12-20 08:13","831.4","2020-12-29 14:33","9.1","17.9","2020-12-13 12:55","-2.1","2020-12-30 23:04","...","0.1","141","8.1","268","2020-12-29 21:32","663.5","...","29","...","...","...","...","121.5","2020-12-01 00:00","99","...","...","...","...","...","...","..."
