"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","867.4","...","873.7","2019-01-01 09:04","863.3","2019-01-22 14:05","10.2","20.3","2019-01-31 13:33","2.2","2019-01-26 22:32","...","0.4","44","5.3","73","2019-01-20 23:29","208.0","...","27","...","...","...","...","28.0","2019-01-16 00:00","97","...","...","...","...","...","...","..."
"02","865.5","...","872.0","2019-02-12 09:43","860.7","2019-02-06 14:28","12.2","20.4","2019-02-07 14:14","5.6","2019-02-01 07:07","...","0.5","91","5.2","235","2019-02-19 00:41","70.5","...","19","...","...","...","...","16.0","2019-02-24 00:00","96","...","...","...","...","...","...","..."
"03","863.3","...","868.7","2019-03-15 21:44","856.8","2019-03-03 15:39","12.1","24.9","2019-03-21 10:00","4.3","2019-03-07 22:36","...","0.6","83","8.8","139","2019-03-05 11:58","210.5","...","20","...","...","...","...","50.5","2019-03-07 00:00","94","...","...","...","...","...","...","..."
"04","862.0","...","868.7","2019-04-01 09:35","856.6","2019-04-30 15:45","16.5","27.4","2019-04-25 07:51","7.7","2019-04-01 07:18","...","0.6","75","6.5","113","2019-04-13 01:42","152.0","...","17","...","...","...","...","26.5","2019-04-13 00:00","93","...","...","...","...","...","...","..."
"05","860.6","...","864.8","2019-05-03 21:16","855.6","2019-05-17 16:20","16.4","24.8","2019-05-14 10:05","9.7","2019-05-21 07:05","...","0.4","69","5.0","115","2019-05-21 21:20","350.5","...","29","...","...","...","...","43.5","2019-05-02 00:00","98","...","...","...","...","...","...","..."
"06","858.7","...","864.3","2019-06-05 22:34","851.5","2019-06-14 03:45","20.1","28.4","2019-06-21 10:44","14.5","2019-06-15 16:26","...","0.6","81","5.1","126","2019-06-22 22:45","241.5","...","21","...","...","...","...","56.5","2019-06-12 00:00","94","...","...","...","...","...","...","..."
"07","858.3","...","862.8","2019-07-11 21:13","849.0","2019-07-18 15:17","21.1","28.0","2019-07-14 10:12","17.2","2019-07-23 05:24","...","0.7","11","9.2","103","2019-07-02 02:09","185.0","...","15","...","...","...","...","53.0","2019-07-02 00:00","93","...","...","...","...","...","...","..."
"08","856.1","...","863.7","2019-08-26 20:35","841.9","2019-08-09 17:15","20.6","29.2","2019-08-11 12:31","16.6","2019-08-07 03:20","...","0.8","97","25.8","115","2019-08-24 14:24","653.0","...","24","...","...","...","...","152.5","2019-08-24 00:00","94","...","...","...","...","...","...","..."
"09","860.4","...","867.6","2019-09-24 09:12","850.3","2019-09-30 19:16","18.2","27.0","2019-09-06 12:48","13.0","2019-09-23 06:01","...","0.7","36","19.8","123","2019-09-30 06:33","432.0","...","22","...","...","...","...","236.0","2019-09-30 00:00","95","...","...","...","...","...","...","..."
"10","864.4","...","870.4","2019-10-14 21:50","851.4","2019-10-01 00:10","15.7","25.8","2019-10-01 13:01","10.5","2019-10-22 06:40","...","0.5","62","6.7","131","2019-10-08 22:56","122.0","...","27","...","...","...","...","27.0","2019-10-29 00:00","95","...","...","...","...","...","...","..."
"11","865.2","...","870.7","2019-11-26 08:55","859.1","2019-11-06 14:30","12.6","22.1","2019-11-17 09:48","6.4","2019-11-29 05:21","...","0.5","86","8.7","61","2019-11-30 11:59","155.0","...","25","...","...","...","...","30.5","2019-11-01 00:00","97","...","...","...","...","...","...","..."
"12","866.4","...","873.7","2019-12-31 09:26","860.4","2019-12-22 15:19","10.4","20.6","2019-12-16 12:38","2.3","2019-12-03 01:48","...","0.6","54","7.2","110","2019-12-06 08:56","206.5","...","20","...","...","...","...","41.5","2019-12-06 00:00","96","...","...","...","...","...","...","..."
