"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","970.0","...","980.2","2020-01-01 09:51","959.4","2020-01-26 15:23","15.0","25.2","2020-01-24 11:39","5.5","2020-01-31 00:48","...","0.9","45","11.9","304","2020-01-26 18:44","53.0","...","12","...","...","...","...","14.5","2020-01-25 00:00","87","...","...","...","...","...","...","..."
"02","972.1","...","980.0","2020-02-17 23:01","964.0","2020-02-15 14:51","15.4","27.3","2020-02-26 11:42","5.4","2020-02-17 22:14","...","0.9","3","7.9","60","2020-02-22 17:59","85.5","...","14","...","...","...","...","17.0","2020-02-22 00:00","86","...","...","...","...","...","...","..."
"03","965.5","...","974.4","2020-03-05 09:50","956.3","2020-03-09 14:30","17.4","28.5","2020-03-27 10:01","10.9","2020-03-29 04:27","...","0.9","7","7.7","54","2020-03-16 14:18","135.0","...","15","...","...","...","...","35.0","2020-03-10 00:00","88","...","...","...","...","...","...","..."
"04","967.8","...","973.3","2020-04-05 08:58","961.4","2020-04-19 15:12","17.3","27.9","2020-04-19 12:53","10.4","2020-04-12 20:25","...","0.9","58","9.0","275","2020-04-13 04:59","174.0","...","18","...","...","...","...","42.0","2020-04-23 00:00","87","...","...","...","...","...","...","..."
"05","961.3","...","967.4","2020-05-13 10:28","954.0","2020-05-22 14:59","23.1","31.1","2020-05-10 10:32","18.4","2020-05-12 19:17","...","0.9","67","11.6","13","2020-05-29 16:10","438.5","...","24","...","...","...","...","120.5","2020-05-16 00:00","92","...","...","...","...","...","...","..."
"06","960.4","...","966.5","2020-06-14 21:45","956.2","2020-06-21 17:46","26.4","33.3","2020-06-23 10:59","21.8","2020-06-10 00:48","...","0.9","89","10.5","293","2020-06-25 13:54","90.5","...","14","...","...","...","...","31.5","2020-06-01 00:00","83","...","...","...","...","...","...","..."
"07","960.4","...","964.8","2020-07-21 22:35","955.3","2020-07-09 16:41","26.7","33.2","2020-07-19 15:33","21.9","2020-07-27 14:55","...","1.0","2","11.4","50","2020-07-29 13:24","301.5","...","13","...","...","...","...","57.5","2020-07-16 00:00","81","...","...","...","...","...","...","..."
"08","959.4","...","967.5","2020-08-12 21:25","953.0","2020-08-03 13:59","26.3","33.6","2020-08-23 12:15","21.8","2020-08-22 02:30","...","1.2","55","12.5","55","2020-08-21 13:49","81.5","...","14","...","...","...","...","36.5","2020-08-22 00:00","81","...","...","...","...","...","...","..."
"09","961.8","...","966.5","2020-09-19 08:57","952.7","2020-09-01 03:15","24.0","32.3","2020-09-18 11:55","17.8","2020-09-30 19:43","...","0.9","5","11.5","277","2020-09-06 18:23","177.0","...","18","...","...","...","...","39.0","2020-09-14 00:00","82","...","...","...","...","...","...","..."
"10","966.5","...","972.7","2020-10-30 21:05","959.0","2020-10-22 03:46","20.2","29.8","2020-10-04 12:16","15.3","2020-10-24 01:12","...","1.1","250","11.9","57","2020-10-13 11:38","906.0","...","23","...","...","...","...","142.5","2020-10-21 00:00","91","...","...","...","...","...","...","..."
"11","969.9","...","976.1","2020-11-30 09:02","962.0","2020-11-19 15:05","18.9","28.3","2020-11-19 12:18","13.7","2020-11-04 01:45","...","1.0","254","9.2","54","2020-11-13 21:55","621.5","...","25","...","...","...","...","104.5","2020-11-13 00:00","92","...","...","...","...","...","...","..."
"12","970.7","...","979.1","2020-12-31 08:43","962.4","2020-12-29 14:55","14.9","24.2","2020-12-29 12:47","4.2","2020-12-31 06:43","...","0.9","53","12.4","40","2020-12-30 13:15","703.5","...","28","...","...","...","...","139.0","2020-12-01 00:00","97","...","...","...","...","...","...","..."
