"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","810.1","...","816.9","2020-01-01 09:37","802.5","2020-01-27 03:48","7.0","16.6","2020-01-07 10:14","-6.0","2020-01-31 01:22","...","0.6","267","12.1","268","2020-01-28 07:01","23.5","...","11","...","...","...","...","13.5","2020-01-26 00:00","86","...","...","...","...","...","...","..."
"02","812.0","...","818.5","2020-02-22 09:43","807.4","2020-02-16 15:56","7.1","17.9","2020-02-13 12:10","-5.2","2020-02-18 03:51","...","0.5","75","10.3","115","2020-02-06 07:01","45.5","...","16","...","...","...","...","11.5","2020-02-05 00:00","90","...","...","...","...","...","...","..."
"03","808.1","...","813.2","2020-03-21 10:09","803.0","2020-03-09 14:34","10.7","23.2","2020-03-22 12:34","0.6","2020-03-16 05:29","...","0.5","267","13.4","266","2020-03-09 07:44","70.5","...","13","...","...","...","...","21.0","2020-03-10 00:00","89","...","...","...","...","...","...","..."
"04","810.0","...","814.0","2020-04-02 08:54","804.2","2020-04-12 15:11","10.1","22.7","2020-04-17 10:09","-2.7","2020-04-13 00:38","...","0.4","93","8.7","272","2020-04-07 00:50","89.0","...","18","...","...","...","...","24.0","2020-04-23 00:00","90","...","...","...","...","...","...","..."
"05","808.1","...","811.7","2020-05-01 09:18","802.0","2020-05-22 15:34","15.8","25.4","2020-05-06 11:34","11.3","2020-05-13 06:08","...","0.2","97","8.2","251","2020-05-06 00:45","212.5","...","23","...","...","...","...","39.5","2020-05-16 00:00","93","...","...","...","...","...","...","..."
"06","808.8","...","813.5","2020-06-14 21:47","805.5","2020-06-21 16:27","17.8","27.0","2020-06-24 12:20","13.3","2020-06-09 19:09","...","0.2","95","5.4","118","2020-06-26 14:11","143.0","...","14","...","...","...","...","34.0","2020-06-14 00:00","88","...","...","...","...","...","...","..."
"07","808.8","...","812.4","2020-07-21 10:04","804.9","2020-07-09 05:33","17.7","25.1","2020-07-13 10:43","14.0","2020-07-11 14:44","...","0.3","105","10.0","111","2020-07-31 09:16","273.5","...","22","...","...","...","...","45.0","2020-07-02 00:00","92","...","...","...","...","...","...","..."
"08","807.6","...","814.4","2020-08-12 21:23","802.4","2020-08-03 13:53","17.1","25.4","2020-08-25 11:47","13.4","2020-08-31 23:54","...","0.4","99","8.9","102","2020-08-21 21:27","125.5","...","18","...","...","...","...","35.5","2020-08-22 00:00","92","...","...","...","...","...","...","..."
"09","808.5","...","813.6","2020-09-19 09:34","801.7","2020-09-01 03:43","15.7","23.9","2020-09-17 09:40","8.2","2020-09-30 20:34","...","0.2","266","5.9","209","2020-09-17 06:25","276.0","...","23","...","...","...","...","48.5","2020-09-19 00:00","94","...","...","...","...","...","...","..."
"10","810.3","...","814.7","2020-10-29 08:09","805.4","2020-10-22 03:29","12.5","22.3","2020-10-04 13:01","2.7","2020-10-31 02:22","...","0.1","105","8.8","107","2020-10-31 19:10","271.0","...","25","...","...","...","...","41.0","2020-10-16 00:00","98","...","...","...","...","...","...","..."
"11","812.5","...","816.2","2020-11-23 08:54","808.9","2020-11-02 16:29","11.2","21.5","2020-11-19 12:28","5.3","2020-11-03 22:33","...","0.2","94","10.3","106","2020-11-01 06:45","289.5","...","25","...","...","...","...","28.0","2020-11-13 00:00","96","...","...","...","...","...","...","..."
"12","810.7","...","814.9","2020-12-01 08:24","806.4","2020-12-12 14:53","7.7","14.3","2020-12-29 10:59","-4.4","2020-12-30 23:53","...","0.2","64","9.4","103","2020-12-25 23:19","300.0","...","28","...","...","...","...","26.0","2020-12-09 00:00","99","...","...","...","...","...","...","..."
