"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1021.7","...","1029.9","2019-01-01 09:13","1014.9","2019-01-11 13:56","17.8","26.7","2019-01-11 10:13","11.8","2019-01-27 00:53","...","1.2","262","10.8","6","2019-01-31 21:29","782.5","...","19","...","...","...","...","194.5","2019-01-02 00:00","83","...","...","...","...","...","...","..."
"02","1018.9","...","1027.7","2019-02-11 20:53","1011.9","2019-02-07 14:36","18.8","27.5","2019-02-03 14:44","12.8","2019-02-23 14:01","...","1.1","36","9.8","30","2019-02-22 16:05","44.5","...","7","...","...","...","...","25.0","2019-02-24 00:00","84","...","...","...","...","...","...","..."
"03","1015.7","...","1023.8","2019-03-23 22:00","1006.4","2019-03-28 16:31","19.4","31.0","2019-03-21 13:20","12.1","2019-03-08 01:13","...","1.2","17","10.7","22","2019-03-06 16:45","129.0","...","19","...","...","...","...","40.5","2019-03-07 00:00","79","...","...","...","...","...","...","..."
"04","1011.8","...","1024.2","2019-04-01 08:37","1003.2","2019-04-30 15:22","23.3","31.9","2019-04-30 14:20","14.5","2019-04-01 20:51","...","1.1","4","10.7","70","2019-04-10 15:55","336.0","...","14","...","...","...","...","239.5","2019-04-27 00:00","82","...","...","...","...","...","...","..."
"05","1010.0","...","1016.9","2019-05-03 11:51","1002.1","2019-05-17 16:51","23.3","31.6","2019-05-19 13:31","17.1","2019-05-02 14:25","...","1.0","29","9.0","15","2019-05-20 11:38","303.5","...","23","...","...","...","...","50.0","2019-05-07 00:00","85","...","...","...","...","...","...","..."
"06","1005.5","...","1011.4","2019-06-05 22:39","997.7","2019-06-14 03:04","27.2","34.5","2019-06-07 14:03","20.7","2019-06-16 04:10","...","0.9","75","9.4","103","2019-06-28 13:09","125.5","...","14","...","...","...","...","41.0","2019-06-11 00:00","82","...","...","...","...","...","...","..."
"07","1004.5","...","1009.6","2019-07-11 19:39","992.5","2019-07-18 14:46","29.3","34.7","2019-07-25 13:16","25.2","2019-07-22 07:17","...","1.4","87","12.5","118","2019-07-31 11:36","26.5","...","10","...","...","...","...","13.0","2019-07-18 00:00","74","...","...","...","...","...","...","..."
"08","1002.6","...","1011.5","2019-08-26 20:35","983.3","2019-08-09 16:33","28.7","35.8","2019-08-11 11:54","24.4","2019-08-24 14:26","...","1.6","77","20.6","153","2019-08-24 14:18","74.5","...","9","...","...","...","...","39.5","2019-08-24 00:00","76","...","...","...","...","...","...","..."
"09","1008.9","...","1019.4","2019-09-24 08:40","993.1","2019-09-30 22:29","26.2","32.4","2019-09-07 11:30","20.9","2019-09-24 11:01","...","1.6","102","18.8","270","2019-09-30 22:18","623.5","...","19","...","...","...","...","138.5","2019-09-29 00:00","76","...","...","...","...","...","...","..."
"10","1015.1","...","1023.3","2019-10-15 09:07","995.5","2019-10-01 00:01","23.9","33.4","2019-10-01 11:43","18.8","2019-10-18 04:31","...","1.2","36","11.7","142","2019-10-01 13:42","307.0","...","14","...","...","...","...","132.5","2019-10-31 00:00","78","...","...","...","...","...","...","..."
"11","1017.8","...","1026.1","2019-11-28 20:38","1010.2","2019-11-06 14:16","20.6","27.9","2019-11-17 11:07","14.9","2019-11-28 22:44","...","1.3","13","11.2","7","2019-11-18 13:08","219.5","...","16","...","...","...","...","62.0","2019-11-20 00:00","83","...","...","...","...","...","...","..."
"12","1020.7","...","1031.3","2019-12-31 09:49","1011.8","2019-12-22 14:34","18.2","27.1","2019-12-17 11:10","12.6","2019-12-31 21:33","...","1.2","32","10.5","18","2019-12-26 18:59","292.5","...","14","...","...","...","...","113.0","2019-12-06 00:00","84","...","...","...","...","...","...","..."
