"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1021.2","...","1029.5","2019-01-01 09:08","1013.2","2019-01-11 18:25","18.1","27.5","2019-01-31 12:03","11.3","2019-01-28 05:53","...","0.4","106","10.9","288","2019-01-26 13:13","538.0","...","21","...","...","...","...","85.5","2019-01-01 00:00","88","...","...","...","...","...","...","..."
"02","1018.3","...","1027.0","2019-02-11 20:11","1009.3","2019-02-05 15:26","19.2","27.6","2019-02-20 11:41","13.3","2019-02-02 06:34","...","0.5","4","9.0","262","2019-02-01 03:50","70.0","...","14","...","...","...","...","18.5","2019-02-24 00:00","89","...","...","...","...","...","...","..."
"03","1015.3","...","1023.2","2019-03-23 21:12","1004.9","2019-03-28 22:11","19.6","31.2","2019-03-21 13:09","12.6","2019-03-07 20:32","...","0.3","5","13.0","165","2019-03-05 16:00","162.0","...","19","...","...","...","...","33.5","2019-03-13 00:00","87","...","...","...","...","...","...","..."
"04","1011.7","...","1023.5","2019-04-01 08:33","1003.1","2019-04-30 15:45","23.1","31.8","2019-04-30 11:30","15.6","2019-04-01 06:00","...","0.4","99","12.7","171","2019-04-09 11:58","321.0","...","16","...","...","...","...","239.5","2019-04-27 00:00","89","...","...","...","...","...","...","..."
"05","1009.9","...","1016.9","2019-05-03 10:54","1002.4","2019-05-17 16:48","23.2","32.1","2019-05-19 13:43","17.6","2019-05-03 03:36","...","0.2","1","9.6","26","2019-05-01 15:09","372.0","...","23","...","...","...","...","69.0","2019-05-12 00:00","91","...","...","...","...","...","...","..."
"06","1005.5","...","1011.6","2019-06-05 22:15","997.7","2019-06-14 03:13","26.9","34.0","2019-06-29 12:19","19.6","2019-06-16 05:16","...","0.0","102","7.1","134","2019-06-30 23:40","172.5","...","14","...","...","...","...","73.5","2019-06-07 00:00","89","...","...","...","...","...","...","..."
"07","1004.7","...","1009.8","2019-07-11 14:01","992.8","2019-07-18 13:45","28.5","34.4","2019-07-15 13:03","23.8","2019-07-23 05:11","...","0.7","4","13.8","163","2019-07-02 18:01","155.0","...","12","...","...","...","...","62.0","2019-07-11 00:00","85","...","...","...","...","...","...","..."
"08","1002.8","...","1012.0","2019-08-26 20:11","984.5","2019-08-09 16:54","28.2","34.6","2019-08-10 15:31","22.6","2019-08-20 03:40","...","0.7","99","15.0","112","2019-08-25 04:36","334.0","...","15","...","...","...","...","76.0","2019-08-18 00:00","86","...","...","...","...","...","...","..."
"09","1008.7","...","1019.3","2019-09-24 09:28","992.8","2019-09-30 20:54","26.5","34.1","2019-09-12 13:22","19.7","2019-09-26 02:06","...","0.6","12","21.0","265","2019-09-30 19:08","707.0","...","16","...","...","...","...","233.0","2019-09-27 00:00","80","...","...","...","...","...","...","..."
"10","1015.1","...","1023.0","2019-10-15 09:01","996.9","2019-10-01 00:01","23.7","31.8","2019-10-01 11:36","18.2","2019-10-23 05:53","...","0.4","1","10.8","270","2019-10-14 18:34","477.5","...","13","...","...","...","...","249.0","2019-10-31 00:00","83","...","...","...","...","...","...","..."
"11","1017.8","...","1025.8","2019-11-28 21:09","1010.3","2019-11-06 14:29","20.5","29.2","2019-11-23 11:43","14.9","2019-11-10 00:57","...","0.5","4","9.1","263","2019-11-14 09:13","402.5","...","21","...","...","...","...","57.5","2019-11-25 00:00","89","...","...","...","...","...","...","..."
"12","1020.6","...","1031.1","2019-12-31 09:59","1012.1","2019-12-22 14:15","18.3","27.0","2019-12-17 13:26","11.0","2019-12-09 01:47","...","0.3","285","14.7","262","2019-12-07 08:47","331.0","...","18","...","...","...","...","152.5","2019-12-06 00:00","87","...","...","...","...","...","...","..."
