"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","&","...","/","...","...","...","...","&","2018-01-31 00:00","...","...","...","...","...","...","...","..."
"02","953.8","...","962.9","2018-02-12 09:26","947.0","2018-02-28 14:36","14.6","23.4","2018-02-16 11:36","8.0","2018-02-12 01:04","...","1.9","8","13.3","19","2018-02-11 03:10","14.5","...","5","...","...","...","...","4.5","2018-02-22 00:00","81","...","...","...","...","...","...","..."
"03","952.2","...","959.2","2018-03-11 08:20","943.0","2018-03-20 15:02","16.4","25.6","2018-03-05 09:15","7.1","2018-03-09 00:08","...","2.1","2","39.5","126","2018-03-23 12:35","162.5","...","16","...","...","...","...","76.0","2018-03-01 00:00","80","...","...","...","...","...","...","..."
"04","950.9","...","959.7","2018-04-07 09:12","944.2","2018-04-24 02:26","18.5","26.7","2018-04-23 11:14","9.1","2018-04-07 20:25","...","2.0","1","14.1","189","2018-04-09 12:10","194.5","...","10","...","...","...","...","154.5","2018-04-23 00:00","80","...","...","...","...","...","...","..."
"05","948.3","...","955.8","2018-05-04 08:45","942.6","2018-05-08 02:31","22.8","30.5","2018-05-27 08:21","15.7","2018-05-04 05:10","...","1.8","4","12.2","205","2018-05-16 21:08","40.0","...","9","...","...","...","...","11.5","2018-05-06 00:00","82","...","...","...","...","...","...","..."
"06","943.9","...","950.6","2018-06-26 10:39","935.0","2018-06-15 02:51","23.8","30.0","2018-06-21 11:27","19.1","2018-06-01 21:13","...","2.1","33","18.6","183","2018-06-18 15:46","330.5","...","17","...","...","...","...","148.5","2018-06-18 00:00","81","...","...","...","...","...","...","..."
"07","943.0","...","947.7","2018-07-09 08:31","929.9","2018-07-11 02:27","24.9","31.3","2018-07-31 10:04","21.3","2018-07-09 21:29","...","2.7","181","21.8","187","2018-07-11 15:28","113.5","...","8","...","...","...","...","32.5","2018-07-17 00:00","85","...","...","...","...","...","...","..."
"08","941.2","...","950.9","2018-08-31 09:09","932.4","2018-08-23 16:59","24.7","32.5","2018-08-03 09:44","20.7","2018-08-30 05:24","...","1.8","2","21.5","205","2018-08-27 20:09","271.0","...","15","...","...","...","...","113.5","2018-08-30 00:00","92","...","...","...","...","...","...","..."
"09","947.1","...","953.9","2018-09-17 21:43","940.2","2018-09-29 04:21","23.8","31.2","2018-09-04 14:38","17.6","2018-09-30 20:22","...","2.2","338","25.9","187","2018-09-15 21:04","390.0","...","11","...","...","...","...","90.0","2018-09-15 00:00","86","...","...","...","...","...","...","..."
"10","952.5","...","958.5","2018-10-20 09:04","943.1","2018-10-04 14:10","19.4","27.1","2018-10-05 11:04","11.4","2018-10-28 05:59","...","2.2","2","16.4","308","2018-10-04 15:08","328.0","...","19","...","...","...","...","58.0","2018-10-31 00:00","86","...","...","...","...","...","...","..."
"11","954.6","...","960.1","2018-11-30 09:24","949.2","2018-11-12 14:27","18.6","26.6","2018-11-03 10:18","13.7","2018-11-28 22:47","...","1.6","4","10.7","23","2018-11-22 09:52","462.0","...","16","...","...","...","...","131.5","2018-11-02 00:00","92","...","...","...","...","...","...","..."
"12","956.5","...","964.8","2018-12-29 08:45","946.6","2018-12-26 13:10","16.3","27.3","2018-12-03 09:13","6.8","2018-12-18 01:11","...","1.9","4","13.7","207","2018-12-19 12:24","215.0","...","16","...","...","...","...","54.0","2018-12-30 00:00","88","...","...","...","...","...","...","..."
