"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","931.4","...","938.5","2019-01-01 09:09","927.0","2019-01-11 14:28","12.9","23.2","2019-01-31 12:52","5.5","2019-01-26 17:07","...","2.4","312","14.6","292","2019-01-31 21:02","942.0","...","26","...","...","...","...","138.0","2019-01-01 00:00","96","...","...","...","...","...","...","..."
"02","929.0","...","936.4","2019-02-11 20:18","923.3","2019-02-06 14:42","14.2","22.7","2019-02-07 09:46","7.6","2019-02-23 06:07","...","2.3","311","13.4","130","2019-02-02 11:25","237.0","...","21","...","...","...","...","34.5","2019-02-04 00:00","98","...","...","...","...","...","...","..."
"03","926.5","...","933.2","2019-03-16 09:22","918.8","2019-03-10 03:53","14.4","26.9","2019-03-21 15:14","7.0","2019-03-07 19:15","...","2.6","311","20.3","274","2019-03-10 02:39","284.0","...","25","...","...","...","...","57.5","2019-03-31 00:00","95","...","...","...","...","...","...","..."
"04","924.2","...","933.1","2019-04-01 08:31","917.7","2019-04-30 15:58","18.5","28.2","2019-04-25 11:15","10.6","2019-04-01 06:09","...","2.5","148","11.9","126","2019-04-13 02:31","389.0","...","20","...","...","...","...","189.5","2019-04-27 00:00","97","...","...","...","...","...","...","..."
"05","922.6","...","928.2","2019-05-03 21:06","916.5","2019-05-17 16:46","18.8","30.5","2019-05-19 13:41","12.8","2019-05-03 05:15","...","2.7","144","13.7","315","2019-05-01 18:54","501.0","...","27","...","...","...","...","59.5","2019-05-07 00:00","97","...","...","...","...","...","...","..."
"06","919.6","...","925.1","2019-06-06 10:32","912.3","2019-06-14 03:07","22.9","31.9","2019-06-21 08:40","15.2","2019-06-15 06:25","...","2.6","144","13.3","126","2019-06-30 22:53","131.5","...","19","...","...","...","...","38.0","2019-06-11 00:00","96","...","...","...","...","...","...","..."
"07","918.9","...","923.6","2019-07-11 19:32","908.5","2019-07-18 13:02","24.1","31.9","2019-07-10 13:46","20.5","2019-07-22 07:15","...","2.5","59","13.5","150","2019-07-02 09:23","232.0","...","15","...","...","...","...","71.0","2019-07-11 00:00","95","...","...","...","...","...","...","..."
"08","916.6","...","924.9","2019-08-26 20:46","900.0","2019-08-09 03:52","23.6","33.1","2019-08-10 12:04","18.8","2019-08-20 02:45","...","1.8","143","29.6","121","2019-08-24 18:16","406.5","...","20","...","...","...","...","114.5","2019-08-24 00:00","98","...","...","...","...","...","...","..."
"09","921.6","...","930.5","2019-09-24 09:06","905.3","2019-09-30 20:16","21.0","31.0","2019-09-07 10:54","15.9","2019-09-24 17:30","...","2.5","304","29.3","277","2019-09-30 21:39","1135.0","...","22","...","...","...","...","365.0","2019-09-26 00:00","99","...","...","...","...","...","...","..."
"10","926.7","...","933.4","2019-10-15 08:56","910.0","2019-10-01 00:01","18.5","29.7","2019-10-04 11:36","13.4","2019-10-20 05:14","...","1.9","302","17.0","270","2019-10-01 08:49","971.0","...","21","...","...","...","...","513.0","2019-10-31 00:00","98","...","...","...","...","...","...","..."
"11","928.5","...","934.9","2019-11-26 08:39","921.9","2019-11-06 14:29","15.5","24.8","2019-11-23 11:22","9.7","2019-11-29 07:07","...","1.7","308","14.2","313","2019-11-28 08:24","1040.5","...","22","...","...","...","...","244.5","2019-11-01 00:00","98","...","...","...","...","...","...","..."
"12","930.4","...","938.9","2019-12-31 10:03","923.6","2019-12-22 14:28","13.3","25.8","2019-12-17 09:47","5.7","2019-12-07 22:30","...","1.8","309","16.5","286","2019-12-02 21:38","618.5","...","22","...","...","...","...","169.0","2019-12-06 00:00","97","...","...","...","...","...","...","..."
