"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","812.0","...","817.8","2019-01-03 09:10","806.9","2019-01-23 04:13","7.2","17.6","2019-01-04 11:15","-0.9","2019-01-27 00:29","...","0.3","91","9.2","111","2019-01-04 03:06","147.0","...","25","...","...","...","...","20.0","2019-01-16 00:00","96","...","...","...","...","...","...","..."
"02","811.0","...","817.6","2019-02-12 09:46","806.1","2019-02-24 14:16","10.0","19.1","2019-02-27 13:22","1.8","2019-02-01 06:44","...","0.5","87","11.6","254","2019-02-19 00:45","30.0","...","8","...","...","...","...","13.5","2019-02-24 00:00","91","...","...","...","...","...","...","..."
"03","808.8","...","813.8","2019-03-26 09:37","802.9","2019-03-03 15:07","10.1","24.2","2019-03-21 11:02","-1.4","2019-03-15 19:21","...","0.6","268","14.1","247","2019-03-05 17:44","148.0","...","15","...","...","...","...","41.0","2019-03-07 00:00","85","...","...","...","...","...","...","..."
"04","808.7","...","812.6","2019-04-01 07:32","804.6","2019-04-30 15:50","13.8","25.3","2019-04-25 11:02","4.9","2019-04-01 06:49","...","0.4","95","7.9","268","2019-04-11 21:57","119.5","...","19","...","...","...","...","24.0","2019-04-27 00:00","87","...","...","...","...","...","...","..."
"05","807.4","...","811.1","2019-05-24 09:56","803.3","2019-05-01 03:15","13.9","22.2","2019-05-14 10:26","6.9","2019-05-01 22:12","...","0.3","89","7.2","106","2019-05-02 13:19","288.0","...","27","...","...","...","...","40.5","2019-05-02 00:00","97","...","...","...","...","...","...","..."
"06","806.0","...","810.9","2019-06-17 21:40","799.2","2019-06-14 03:48","16.7","25.7","2019-06-21 10:57","12.1","2019-06-15 06:07","...","0.2","100","8.2","112","2019-06-16 05:29","287.0","...","18","...","...","...","...","54.0","2019-06-29 00:00","94","...","...","...","...","...","...","..."
"07","806.3","...","810.2","2019-07-11 21:03","797.9","2019-07-18 13:48","17.8","26.4","2019-07-14 10:54","13.6","2019-07-23 05:10","...","0.1","105","9.2","110","2019-07-17 02:08","185.0","...","19","...","...","...","...","47.0","2019-07-21 00:00","91","...","...","...","...","...","...","..."
"08","804.4","...","811.7","2019-08-26 20:31","791.1","2019-08-09 04:34","17.3","25.6","2019-08-11 11:29","13.5","2019-08-06 21:29","...","0.5","16","19.3","103","2019-08-24 14:33","680.0","...","23","...","...","...","...","183.5","2019-08-24 00:00","91","...","...","...","...","...","...","..."
"09","807.7","...","814.4","2019-09-27 09:49","796.9","2019-09-30 19:10","14.6","21.9","2019-09-06 10:37","8.8","2019-09-19 03:04","...","0.5","93","18.6","108","2019-09-30 05:07","522.0","...","20","...","...","...","...","243.5","2019-09-30 00:00","95","...","...","...","...","...","...","..."
"10","810.8","...","815.4","2019-10-14 20:32","799.1","2019-10-01 00:01","12.5","21.7","2019-10-11 12:16","6.5","2019-10-15 05:37","...","0.3","255","7.0","113","2019-10-07 08:07","96.0","...","24","...","...","...","...","19.0","2019-10-29 00:00","94","...","...","...","...","...","...","..."
"11","810.7","...","815.6","2019-11-25 09:14","805.1","2019-11-06 14:17","10.2","20.7","2019-11-15 11:23","2.4","2019-11-09 23:51","...","0.3","100","10.5","107","2019-11-30 04:53","155.5","...","22","...","...","...","...","26.0","2019-11-01 00:00","88","...","...","...","...","...","...","..."
"12","811.5","...","818.2","2019-12-31 09:30","807.2","2019-12-22 14:10","7.4","18.6","2019-12-17 12:45","-1.2","2019-12-09 00:15","...","0.4","84","11.1","110","2019-12-10 06:37","187.5","...","17","...","...","...","...","47.0","2019-12-06 00:00","91","...","...","...","...","...","...","..."
