"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","837.5","...","843.6","2019-01-01 09:20","831.2","2019-01-15 02:00","8.4","20.0","2019-01-04 13:35","0.7","2019-01-26 21:54","...","0.3","187","8.4","55","2019-01-31 10:02","204.5","...","25","...","...","...","...","29.5","2019-01-03 00:00","98","...","...","...","...","...","...","..."
"02","836.0","...","842.4","2019-02-12 09:48","830.2","2019-02-24 14:44","10.8","20.7","2019-02-20 10:50","3.6","2019-02-01 06:44","...","0.5","323","7.2","16","2019-02-06 03:34","25.5","...","12","...","...","...","...","13.0","2019-02-24 00:00","96","...","...","...","...","...","...","..."
"03","833.8","...","838.6","2019-03-15 21:54","827.8","2019-03-03 07:52","10.7","25.9","2019-03-21 10:30","1.6","2019-03-15 20:16","...","0.5","3","11.2","185","2019-03-10 02:46","251.0","...","19","...","...","...","...","57.0","2019-03-07 00:00","94","...","...","...","...","...","...","..."
"04","833.0","...","838.4","2019-04-01 21:13","828.1","2019-04-30 16:15","14.7","27.7","2019-04-10 11:29","6.2","2019-04-02 02:31","...","0.5","324","9.0","209","2019-04-11 21:56","146.0","...","15","...","...","...","...","26.5","2019-04-16 00:00","93","...","...","...","...","...","...","..."
"05","831.7","...","835.2","2019-05-03 21:18","827.0","2019-05-17 16:28","14.9","23.1","2019-05-19 09:27","7.1","2019-05-02 04:05","...","0.3","238","7.7","73","2019-05-21 15:28","447.5","...","27","...","...","...","...","61.5","2019-05-02 00:00","100","...","...","...","...","...","...","..."
"06","830.2","...","835.6","2019-06-05 22:22","823.3","2019-06-14 03:14","17.9","27.6","2019-06-21 10:51","12.4","2019-06-15 04:45","...","0.5","327","7.2","16","2019-06-24 06:07","345.0","...","21","...","...","...","...","59.0","2019-06-12 00:00","98","...","...","...","...","...","...","..."
"07","830.0","...","834.2","2019-07-11 21:08","820.9","2019-07-18 13:59","19.0","27.3","2019-07-13 12:43","14.8","2019-07-09 03:03","...","0.5","313","6.7","267","2019-07-18 11:40","157.5","...","20","...","...","...","...","34.5","2019-07-02 00:00","98","...","...","...","...","...","...","..."
"08","828.2","...","835.6","2019-08-26 21:06","813.5","2019-08-09 14:45","18.6","28.4","2019-08-10 11:56","13.6","2019-08-07 03:04","...","0.5","317","9.8","2","2019-08-09 19:49","557.0","...","24","...","...","...","...","132.0","2019-08-09 00:00","98","...","...","...","...","...","...","..."
"09","832.1","...","839.1","2019-09-27 09:52","821.8","2019-09-30 21:34","16.2","24.9","2019-09-02 12:40","9.7","2019-09-17 02:00","...","0.5","1","11.4","309","2019-09-30 15:17","404.0","...","19","...","...","...","...","250.5","2019-09-30 00:00","99","...","...","...","...","...","...","..."
"10","835.6","...","841.0","2019-10-14 20:52","822.5","2019-10-01 00:09","13.9","24.8","2019-10-04 12:23","8.0","2019-10-14 21:25","...","0.3","134","9.8","120","2019-10-01 04:54","200.0","...","25","...","...","...","...","40.5","2019-10-01 00:00","98","...","...","...","...","...","...","..."
"11","836.0","...","841.1","2019-11-25 09:24","830.2","2019-11-06 14:14","10.9","22.7","2019-11-17 10:53","3.1","2019-11-10 02:50","...","0.3","306","4.4","340","2019-11-10 23:34","370.5","...","22","...","...","...","...","57.5","2019-11-01 00:00","98","...","...","...","...","...","...","..."
"12","836.6","...","843.5","2019-12-31 09:16","831.4","2019-12-22 14:34","8.5","21.3","2019-12-16 11:31","0.8","2019-12-09 01:11","...","0.4","330","5.3","266","2019-12-30 03:19","383.5","...","21","...","...","...","...","116.5","2019-12-06 00:00","99","...","...","...","...","...","...","..."
